"File","Type","SizeBytes","Lines","ContainsExpress","ContainsReact","ContainsPostgreSQL","ContainsMongoDB","ContainsRedis","ContainsRabbitMQ","ContainsElasticsearch","ContainsGraphQL","ContainsSocketIO","ContainsJWT"
".claude\worktrees\jolly-feynman-9d174f\backend\package.json","package.json","2203","83","True","False","True","True","True","True","True","True","True","True"
".claude\worktrees\jolly-feynman-9d174f\frontend\package-lock.json","package-lock.json","403620","11184","False","True","True","False","False","False","False","False","True","False"
".claude\worktrees\jolly-feynman-9d174f\frontend\package.json","package.json","2519","80","False","True","False","False","False","False","False","False","True","False"
".claude\worktrees\jolly-feynman-9d174f\frontend\android\build.gradle","build.gradle","666","30","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\jolly-feynman-9d174f\frontend\android\app\build.gradle","build.gradle","2180","55","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\jolly-feynman-9d174f\frontend\src-tauri\Cargo.toml","Cargo.toml","2987","88","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\musing-bartik-79ce5a\backend\package-lock.json","package-lock.json","528129","13863","True","True","True","True","True","True","True","True","True","True"
".claude\worktrees\musing-bartik-79ce5a\backend\package.json","package.json","2162","82","True","False","True","True","True","True","True","True","True","True"
".claude\worktrees\musing-bartik-79ce5a\frontend\package-lock.json","package-lock.json","403211","11174","False","True","True","False","False","False","False","False","True","False"
".claude\worktrees\musing-bartik-79ce5a\frontend\package.json","package.json","2685","82","False","True","False","False","False","False","False","False","True","False"
".claude\worktrees\musing-bartik-79ce5a\frontend\android\build.gradle","build.gradle","666","30","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\musing-bartik-79ce5a\frontend\android\app\build.gradle","build.gradle","2194","55","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\musing-bartik-79ce5a\frontend\src-tauri\Cargo.toml","Cargo.toml","2986","89","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\reverent-hellman-fc7e32\backend\package-lock.json","package-lock.json","528129","13863","True","True","True","True","True","True","True","True","True","True"
".claude\worktrees\reverent-hellman-fc7e32\backend\package.json","package.json","2162","82","True","False","True","True","True","True","True","True","True","True"
".claude\worktrees\reverent-hellman-fc7e32\frontend\package-lock.json","package-lock.json","403211","11174","False","True","True","False","False","False","False","False","True","False"
".claude\worktrees\reverent-hellman-fc7e32\frontend\package.json","package.json","2685","82","False","True","False","False","False","False","False","False","True","False"
".claude\worktrees\reverent-hellman-fc7e32\frontend\android\build.gradle","build.gradle","666","30","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\reverent-hellman-fc7e32\frontend\android\app\build.gradle","build.gradle","2194","55","False","False","False","False","False","False","False","False","False","False"
".claude\worktrees\reverent-hellman-fc7e32\frontend\src-tauri\Cargo.toml","Cargo.toml","2986","89","False","False","False","False","False","False","False","False","False","False"
"backend\package-lock.json","package-lock.json","537047","14092","True","True","True","True","True","True","True","True","True","True"
"backend\package.json","package.json","2258","84","True","False","True","True","True","True","True","True","True","True"
"frontend\package-lock.json","package-lock.json","778449","21011","True","True","True","False","False","False","False","False","True","False"
"frontend\package.json","package.json","3192","96","False","True","False","False","False","False","False","False","True","False"
"frontend\android\build.gradle","build.gradle","666","30","False","False","False","False","False","False","False","False","False","False"
"frontend\android\app\build.gradle","build.gradle","2194","55","False","False","False","False","False","False","False","False","False","False"
"frontend\src-tauri\Cargo.toml","Cargo.toml","2986","89","False","False","False","False","False","False","False","False","False","False"
