"File","Type","Severity","Evidence","Lines","SizeBytes"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M037\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M038\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M039\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","93"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M041\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M046\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","90"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M049\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","102"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M051\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M059\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","90"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M061\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","89"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M062\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","89"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M063\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","93"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M064\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M065\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","89"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M066\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M067\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","93"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M068\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M069\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M070\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M074\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M075\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M076\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M077\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","100"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M078\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M079\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M080\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M083\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M087\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M088\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","95"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M089\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M095\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M096\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M097\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","93"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M101\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M102\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M103\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","95"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M104\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M105\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M107\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M108\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M109\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M110\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","102"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M112\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M113\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","100"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M116\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","100"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M121\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M122\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M123\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M127\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","100"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M129\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","95"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M130\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","95"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M131\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M132\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M133\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","95"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M134\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M135\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M136\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M138\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","102"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M140\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M141\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M142\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M143\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M145\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M146\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M147\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M150\model.sql","PLACEHOLDER;VERY_SMALL_FILE","HIGH","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\routes\energyRoutes.js","PLACEHOLDER","HIGH","PLACEHOLDER","258","7307"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\routes\foodRoutes.js","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","292","7667"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\aiCopilotService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","675","28263"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\aiOrchestrationService.js","PLACEHOLDER;CONSTANT_RETURN;EMPTY_BLOCK","HIGH","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","118","3084"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\aiService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","663","21759"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\authService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","1216","34734"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\biodiversityService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","896","30395"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\blockchainTraceabilityService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","716","23027"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\databaseManagementService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","712","18070"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\digitalProductPassportService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","1060","35096"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\digitalTwinService.js","PLACEHOLDER;CONSTANT_RETURN","HIGH","PLACEHOLDER | CONSTANT_RETURN","834","27462"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\dynamicPricingService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","696","24359"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\farmerTrainingService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","735","22425"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\foodSafetyService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","936","30535"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\formService.js","PLACEHOLDER;CONSTANT_RETURN;EMPTY_BLOCK","HIGH","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","435","13749"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\governmentSchemeService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","706","20207"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\greenhouseService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","536","16192"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\indigenousKnowledgeService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","825","26274"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\informationSharingService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","623","17733"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\institutionalProcurementService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","785","26572"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\insuranceClaimsService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","587","17763"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\iotSensorService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","722","21907"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\knowledgeGraphService.js","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","407","12265"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\knowledgeService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","835","23741"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\landRecordsService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","462","13743"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\multilingualService.js","PLACEHOLDER;CONSTANT_RETURN;EMPTY_BLOCK","HIGH","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","816","27841"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\offlinePaymentService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","700","20867"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\offlineSyncService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","834","24465"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\omnichannelAIService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","789","24791"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\preSeasonOrderService.js","NOT_IMPLEMENTED;CONSTANT_RETURN;EMPTY_BLOCK","HIGH","NOT_IMPLEMENTED | CONSTANT_RETURN | EMPTY_BLOCK","771","23134"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\publicDomainDataExtractionService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","880","25259"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\realtimeMonitoringService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","566","15342"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\recipeIntelligenceService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","907","30298"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\recoveredFinanceService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","438","17186"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\sharedInfraService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","606","17497"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\shelfLifeService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","881","29427"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\soilTestingService.js","CONSTANT_RETURN;EMPTY_BLOCK","HIGH","CONSTANT_RETURN | EMPTY_BLOCK","613","19786"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\wikipediaService.js","CONSTANT_RETURN","HIGH","CONSTANT_RETURN","137","4659"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\utils\statistics.js","PLACEHOLDER;EMPTY_BLOCK","HIGH","PLACEHOLDER | EMPTY_BLOCK","336","10037"
