"File","Integration","EvidenceType"
".claude\worktrees\confident-satoshi-a53ac8\AFRERA_IMPLEMENTATION_INSTRUCTIONS_FOR_DEVIN.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\AFRERA_INTEGRATED_PLATFORM_ARCHITECTURE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\ARCHITECTURE_ENHANCEMENT_PLAN.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\backend\.github\workflows\ci-cd.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\backend\docker-compose.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\CLAUDE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\DOCUMENTATION\Solution_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\DOCUMENTATION\Volume_1_Platform_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\DOCUMENTATION\Volume_11A_Engineering_Microservices_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\DOCUMENTATION\Volume_11D_Phase1_Implementation_Plan.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\ENGINEERING_ENHANCEMENT_COMPLETION_REPORT.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\ENTERPRISE_FORM_MANAGEMENT_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\EVGA_PHASE13_REVERIFIED_2026-08-03.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\MODULE_DESIGN_SPECIFICATION_CUSTOMER_ISSUE_RESOLUTION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\MODULE_DESIGN_SPECIFICATION_FINANCIAL_OS.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\README.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\REVENUE_OPERATING_SYSTEM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\TISMP_API_MINING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\TISMP_ARCHITECTURE_RECOVERY_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\TISMP_BUSINESS_RULE_MINING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\TISMP_DATABASE_SCHEMA_MINING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\TISMP_FORM_UI_MINING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\TISMP_OPEN_SOURCE_EVALUATION_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\TISMP_REPOSITORY_DISCOVERY_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\TISMP_REPOSITORY_RANKING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\TISMP_SECURITY_MALWARE_ANALYSIS_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\confident-satoshi-a53ac8\TISMP_WORKFLOW_MINING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\architecture\AI_COLLABORATION_ARCHITECTURE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\architecture\CODEBASE_MAP.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\architecture\DATABASE_CURRENT_STATE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\architecture\SYSTEM_ARCHITECTURE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\handoffs\CLAUDE_INITIAL_HANDOFF.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\handoffs\DATABASE_MIGRATION_BLOCKER.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\PROJECT_CONTEXT.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\quality\SECURITY_REVIEW.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\requirements\MASTER_REQUIREMENTS.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\reviews\canonical-normalization-20260825-084055\BASELINE.json","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\reviews\canonical-normalization-20260825-084055\FILE_OWNERSHIP_CLASSIFICATION.json","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\reviews\canonical-normalization-20260825-084055\FINAL_GIT_STATUS.json","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.ai\tasks\ACTIVE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.claude\agents\infra-auditor.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.claude\audits\AUDIT_DB.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.claude\audits\AUDIT_INFRA.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.claude\audits\AUDIT_PERF.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.claude\audits\FIXES.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.claude\CLAUDE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.devin\environment.yaml","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.github\copilot-instructions.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\.github\workflows\ci.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\backend\.github\workflows\ci-cd.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\backend\docker-compose.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\backend\services\local-image-gen\README.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\CLAUDE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\docker-compose.database.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\docker-compose.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\DOCUMENTATION\Solution_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\DOCUMENTATION\Volume_1_Platform_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\DOCUMENTATION\Volume_11A_Engineering_Microservices_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\DOCUMENTATION\Volume_11D_Phase1_Implementation_Plan.md","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\frontend\package-lock.json","Docker","TEXT_REFERENCE"
".claude\worktrees\enterprise-audit\README.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\architecture\AI_COLLABORATION_ARCHITECTURE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\architecture\CODEBASE_MAP.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\architecture\DATABASE_CURRENT_STATE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\architecture\SYSTEM_ARCHITECTURE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\handoffs\CLAUDE_INITIAL_HANDOFF.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\handoffs\DATABASE_MIGRATION_BLOCKER.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\PROJECT_CONTEXT.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\quality\SECURITY_REVIEW.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\requirements\MASTER_REQUIREMENTS.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\reviews\canonical-normalization-20260825-084055\BASELINE.json","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\reviews\canonical-normalization-20260825-084055\FILE_OWNERSHIP_CLASSIFICATION.json","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\reviews\canonical-normalization-20260825-084055\FINAL_GIT_STATUS.json","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.ai\tasks\ACTIVE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.claude\agents\infra-auditor.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.claude\audits\AUDIT_DB.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.claude\audits\AUDIT_INFRA.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.claude\audits\AUDIT_PERF.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.claude\audits\FIXES.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.claude\CLAUDE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.devin\environment.yaml","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.github\copilot-instructions.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\.github\workflows\ci.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\backend\.github\workflows\ci-cd.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\backend\docker-compose.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\CLAUDE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\docker-compose.database.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\docker-compose.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\DOCUMENTATION\Solution_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\DOCUMENTATION\Volume_1_Platform_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\DOCUMENTATION\Volume_11A_Engineering_Microservices_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\DOCUMENTATION\Volume_11D_Phase1_Implementation_Plan.md","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\package-lock.json","Docker","TEXT_REFERENCE"
".claude\worktrees\intelligent-sutherland-9f1488\README.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\.claude\agents\infra-auditor.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\.claude\CLAUDE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\.devin\environment.yaml","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\.github\copilot-instructions.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\.github\workflows\ci.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\afrera\afrera-infrastructure\README.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\AFRERA_DEVELOPMENT_INFRASTRUCTURE_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\AFRERA_DEVELOPMENT_OPERATING_SYSTEM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\AFRERA_DEVELOPMENT_STACK_SETUP.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\AFRERA_ENGINEERING_GOVERNANCE_SYSTEM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\AFRERA_ENTERPRISE_MODULE_SPECIFICATION_30_LEVEL_FRAMEWORK.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\AFRERA_IMPLEMENTATION_INSTRUCTIONS_FOR_DEVIN.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\AFRERA_INTEGRATED_PLATFORM_ARCHITECTURE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\ARCHITECTURE_ENHANCEMENT_PLAN.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\backend\.github\workflows\ci-cd.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\backend\docker-compose.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\CLAUDE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\DOCUMENTATION\Solution_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\DOCUMENTATION\Volume_1_Platform_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\DOCUMENTATION\Volume_11A_Engineering_Microservices_Architecture.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\DOCUMENTATION\Volume_11D_Phase1_Implementation_Plan.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\ENGINEERING_ENHANCEMENT_COMPLETION_REPORT.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\ENTERPRISE_FORM_MANAGEMENT_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\EVGA_PHASE13_REVERIFIED_2026-08-03.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\frontend\package-lock.json","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\MODULE_DESIGN_SPECIFICATION_CUSTOMER_ISSUE_RESOLUTION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\MODULE_DESIGN_SPECIFICATION_FINANCIAL_OS.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\README.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\REVENUE_OPERATING_SYSTEM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\TISMP_API_MINING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\TISMP_ARCHITECTURE_RECOVERY_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\TISMP_BUSINESS_RULE_MINING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\TISMP_DATABASE_SCHEMA_MINING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\TISMP_FORM_UI_MINING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\TISMP_OPEN_SOURCE_EVALUATION_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\TISMP_REPOSITORY_DISCOVERY_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\TISMP_REPOSITORY_RANKING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\TISMP_SECURITY_MALWARE_ANALYSIS_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\jolly-feynman-9d174f\TISMP_WORKFLOW_MINING_PLATFORM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\.claude\agents\infra-auditor.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\.claude\CLAUDE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\.devin\environment.yaml","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\.github\copilot-instructions.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\.github\workflows\ci.yml","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\afrera\afrera-infrastructure\README.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\AFRERA_ARCHITECTURE_COMPILATION_SUMMARY.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\AFRERA_DEVELOPMENT_INFRASTRUCTURE_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\AFRERA_DEVELOPMENT_OPERATING_SYSTEM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\AFRERA_DEVELOPMENT_STACK_SETUP.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\AFRERA_ENGINEERING_GOVERNANCE_SYSTEM_SPECIFICATION.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\AFRERA_ENTERPRISE_MODULE_SPECIFICATION_30_LEVEL_FRAMEWORK.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\AFRERA_IMPLEMENTATION_INSTRUCTIONS_FOR_DEVIN.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\AFRERA_INTEGRATED_PLATFORM_ARCHITECTURE.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\ARCHITECTURE_ENHANCEMENT_PLAN.md","Docker","TEXT_REFERENCE"
".claude\worktrees\musing-bartik-79ce5a\backend\.github\workflows\ci-cd.yml","Docker","TEXT_REFERENCE"
