"File","Severity","Classification","Evidence","Lines","SizeBytes"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M112\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M113\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","100"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M116\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","100"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M121\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","92"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M122\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M123\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M127\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","100"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M129\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","95"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M130\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","95"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M131\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M132\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","91"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M133\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","95"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M134\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M135\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M136\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M138\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","102"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M140\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M141\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","94"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M142\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M143\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","99"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M145\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","96"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M146\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M147\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","97"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\modules\M150\model.sql","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | VERY_SMALL_FILE","3","98"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\routes\energyRoutes.js","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","258","7307"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\routes\foodRoutes.js","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","292","7667"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\aiOrchestrationService.js","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","118","3084"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\digitalTwinService.js","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | CONSTANT_RETURN","834","27462"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\formService.js","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","435","13749"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\knowledgeGraphService.js","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","407","12265"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\services\multilingualService.js","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | CONSTANT_RETURN | EMPTY_BLOCK","816","27841"
".claude\worktrees\confident-satoshi-a53ac8\backend\src\utils\statistics.js","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","336","10037"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\ArVr\ExperienceViewer.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","208","8617"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\common\DataPrimitives.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","340","13347"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\ConversationalAI\ChatInterface.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","230","8495"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\forms\FormBuilderPanel.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","183","9051"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\forms\FormPreviewPanel.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","79","3494"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\GIIntelligence\GIProductCard.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","163","6776"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\Header.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","587","26191"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\KnowledgeGraph\KnowledgeExplorer.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","189","7217"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\LaboratoryERP\SampleRegistration.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","360","12564"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\Marketplace\GSTCalculator.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","185","6957"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\Marketplace\ProductReview.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","230","8507"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\OrganicTraceability\OrganicFarmRegistration.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","234","8168"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\OrganicTraceability\QRCodeScanner.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","189","8141"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\PredictiveAnalytics\DemandForecast.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","170","7351"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\ui\input.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","19","694"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\ui\select.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","87","3559"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\components\ui\textarea.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","18","618"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\modules\M011\M011Page.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","84","2976"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\B2BMarketplace.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","511","22019"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\CheckoutPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","255","11018"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\ClimateAdvisoryPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","166","8948"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\CompliancePage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","103","4817"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\CorporateBuyerPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","358","16123"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\CorridorEconomicsPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","109","5024"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\DairyManagementPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","290","16372"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\DiscoverPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","188","8544"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\DynamicPricingPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","227","9408"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\economic\EconomicDashboard.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | THIN_IMPLEMENTATION","11","282"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\FarmAdvisorPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","255","11880"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\FarmCostingPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","212","12101"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\FarmerFieldPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","336","15024"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\FarmerSellPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","302","11421"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\FertilizerInventoryPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","264","15403"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\FormManagementPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","307","11154"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\LandRegistryPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","282","14715"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\LoginPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","137","5486"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\LogisticsProviderPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","454","20638"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\MarketplacePage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","300","12147"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\ModuleHubPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","198","10498"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\PreOrderPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","275","11618"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\PriceBuildPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","280","12170"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\PriceCheckPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","211","9473"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\RegisterPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","214","8338"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\SeedVaultPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","467","21006"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\ShgManagementPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","241","13582"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\SowingManagementPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","296","15129"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\SubsidyManagementPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","363","18872"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\TractorManagementPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","338","19212"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\VillageRegistryPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER | EMPTY_BLOCK","209","11971"
".claude\worktrees\confident-satoshi-a53ac8\frontend\src\pages\WalletPage.jsx","HIGH","CONFIRMED_PLACEHOLDER","PLACEHOLDER","212","8509"
