"File","Name","Extension","SizeBytes","LastWrite"
".claude\worktrees\enterprise-audit\frontend\android\settings.gradle","settings.gradle",".gradle","212","30-08-2026 08:16:08"
".claude\worktrees\enterprise-audit\frontend\capacitor.config.json","capacitor.config.json",".json","87","30-08-2026 08:16:08"
".claude\worktrees\enterprise-audit\frontend\jest.config.js","jest.config.js",".js","692","30-08-2026 08:16:08"
".claude\worktrees\enterprise-audit\frontend\postcss.config.cjs","postcss.config.cjs",".cjs","88","30-08-2026 08:16:08"
".claude\worktrees\enterprise-audit\frontend\src-tauri\Cargo.toml","Cargo.toml",".toml","2986","30-08-2026 08:16:08"
".claude\worktrees\enterprise-audit\frontend\tailwind.config.js","tailwind.config.js",".js","5260","30-08-2026 08:16:10"
".claude\worktrees\enterprise-audit\frontend\vite.config.js","vite.config.js",".js","5948","30-08-2026 08:16:10"
".claude\worktrees\enterprise-audit\infra\k8s\mlflow-configmap.yaml","mlflow-configmap.yaml",".yaml","185","30-08-2026 08:16:10"
".claude\worktrees\enterprise-audit\infra\k8s\mlflow-deployment.yaml","mlflow-deployment.yaml",".yaml","685","30-08-2026 08:16:10"
".claude\worktrees\enterprise-audit\infra\k8s\mlflow-namespace.yaml","mlflow-namespace.yaml",".yaml","60","30-08-2026 08:16:10"
".claude\worktrees\enterprise-audit\infra\k8s\mlflow-service.yaml","mlflow-service.yaml",".yaml","208","30-08-2026 08:16:10"
".claude\worktrees\enterprise-audit\render.yaml","render.yaml",".yaml","1995","30-08-2026 08:16:12"
".claude\worktrees\enterprise-audit\settings.local.json","settings.local.json",".json","48879","30-08-2026 08:16:12"
".claude\worktrees\intelligent-sutherland-9f1488\.claude\settings.local.json","settings.local.json",".json","48371","28-08-2026 14:27:19"
".claude\worktrees\intelligent-sutherland-9f1488\.cursor\settings.json","settings.json",".json","37","30-08-2026 13:10:09"
".claude\worktrees\intelligent-sutherland-9f1488\.devin\environment.yaml","environment.yaml",".yaml","7752","30-08-2026 13:10:09"
".claude\worktrees\intelligent-sutherland-9f1488\.env.database.example",".env.database.example",".example","534","30-08-2026 13:10:09"
".claude\worktrees\intelligent-sutherland-9f1488\.env.production",".env.production",".production","1283","30-08-2026 13:10:09"
".claude\worktrees\intelligent-sutherland-9f1488\.github\workflows\ci.yml","ci.yml",".yml","18594","30-08-2026 13:10:09"
".claude\worktrees\intelligent-sutherland-9f1488\.vibecheck\flow\config.json","config.json",".json","373","30-08-2026 13:10:09"
".claude\worktrees\intelligent-sutherland-9f1488\backend\.env.example",".env.example",".example","8637","30-08-2026 13:10:10"
".claude\worktrees\intelligent-sutherland-9f1488\backend\.github\workflows\ci-cd.yml","ci-cd.yml",".yml","6141","30-08-2026 13:10:10"
".claude\worktrees\intelligent-sutherland-9f1488\backend\docker-compose.yml","docker-compose.yml",".yml","4956","30-08-2026 13:10:10"
".claude\worktrees\intelligent-sutherland-9f1488\backend\Dockerfile","Dockerfile","","1056","30-08-2026 13:10:10"
".claude\worktrees\intelligent-sutherland-9f1488\backend\jest.config.js","jest.config.js",".js","498","30-08-2026 13:10:10"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\1001_platform_configuration.sql","1001_platform_configuration.sql",".sql","572","30-08-2026 13:10:10"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\database\migrations\9501_m002_platform_configuration.sql","9501_m002_platform_configuration.sql",".sql","1336","30-08-2026 13:10:10"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\routes\platformConfigurationRoutes.js","platformConfigurationRoutes.js",".js","4891","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\services\claude\unifiedConfigService.js","unifiedConfigService.js",".js","9108","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\services\legacy\platformConfigurationService.js","platformConfigurationService.js",".js","16605","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\backend\src\services\unifiedConfigService.js","unifiedConfigService.js",".js","163","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\docker-compose.database.yml","docker-compose.database.yml",".yml","1267","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\docker-compose.yml","docker-compose.yml",".yml","2671","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\Dockerfile","Dockerfile","","1756","30-08-2026 13:10:10"
".claude\worktrees\intelligent-sutherland-9f1488\docs\openapi-stubs-farmers.yaml","openapi-stubs-farmers.yaml",".yaml","1575","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\docs\openapi-stubs-marketplace.yaml","openapi-stubs-marketplace.yaml",".yaml","1439","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\android\capacitor.settings.gradle","capacitor.settings.gradle",".gradle","210","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\android\settings.gradle","settings.gradle",".gradle","212","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\capacitor.config.json","capacitor.config.json",".json","87","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\jest.config.js","jest.config.js",".js","692","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\postcss.config.cjs","postcss.config.cjs",".cjs","88","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\src-tauri\Cargo.toml","Cargo.toml",".toml","2986","30-08-2026 13:10:12"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\tailwind.config.js","tailwind.config.js",".js","5260","30-08-2026 13:10:14"
".claude\worktrees\intelligent-sutherland-9f1488\frontend\vite.config.js","vite.config.js",".js","5948","30-08-2026 13:10:14"
".claude\worktrees\intelligent-sutherland-9f1488\infra\k8s\mlflow-configmap.yaml","mlflow-configmap.yaml",".yaml","185","30-08-2026 13:10:14"
".claude\worktrees\intelligent-sutherland-9f1488\infra\k8s\mlflow-deployment.yaml","mlflow-deployment.yaml",".yaml","685","30-08-2026 13:10:14"
".claude\worktrees\intelligent-sutherland-9f1488\infra\k8s\mlflow-namespace.yaml","mlflow-namespace.yaml",".yaml","60","30-08-2026 13:10:14"
".claude\worktrees\intelligent-sutherland-9f1488\infra\k8s\mlflow-service.yaml","mlflow-service.yaml",".yaml","208","30-08-2026 13:10:14"
".claude\worktrees\intelligent-sutherland-9f1488\render.yaml","render.yaml",".yaml","1995","30-08-2026 13:10:16"
".claude\worktrees\intelligent-sutherland-9f1488\settings.local.json","settings.local.json",".json","48879","30-08-2026 13:10:16"
".claude\worktrees\jolly-feynman-9d174f\.claude\settings.local.json","settings.local.json",".json","48371","28-08-2026 14:27:19"
".claude\worktrees\jolly-feynman-9d174f\.cursor\settings.json","settings.json",".json","37","30-08-2026 01:28:01"
".claude\worktrees\jolly-feynman-9d174f\.devin\environment.yaml","environment.yaml",".yaml","7752","30-08-2026 01:28:01"
".claude\worktrees\jolly-feynman-9d174f\.github\workflows\ci.yml","ci.yml",".yml","19189","30-08-2026 01:28:01"
".claude\worktrees\jolly-feynman-9d174f\.vibecheck\flow\config.json","config.json",".json","373","30-08-2026 01:28:01"
".claude\worktrees\jolly-feynman-9d174f\backend\.env.example",".env.example",".example","3698","30-08-2026 01:28:03"
".claude\worktrees\jolly-feynman-9d174f\backend\.github\workflows\ci-cd.yml","ci-cd.yml",".yml","6141","30-08-2026 01:28:03"
".claude\worktrees\jolly-feynman-9d174f\backend\docker-compose.yml","docker-compose.yml",".yml","3631","30-08-2026 01:28:03"
".claude\worktrees\jolly-feynman-9d174f\backend\Dockerfile","Dockerfile","","1056","30-08-2026 01:28:03"
".claude\worktrees\jolly-feynman-9d174f\backend\jest.config.js","jest.config.js",".js","1212","30-08-2026 01:28:03"
".claude\worktrees\jolly-feynman-9d174f\backend\src\database\migrations\1001_platform_configuration.sql","1001_platform_configuration.sql",".sql","572","30-08-2026 01:28:04"
".claude\worktrees\jolly-feynman-9d174f\backend\src\routes\platformConfigurationRoutes.js","platformConfigurationRoutes.js",".js","4884","30-08-2026 01:28:06"
".claude\worktrees\jolly-feynman-9d174f\backend\src\services\platformConfigurationService.js","platformConfigurationService.js",".js","15646","30-08-2026 01:28:07"
".claude\worktrees\jolly-feynman-9d174f\docs\openapi-stubs-farmers.yaml","openapi-stubs-farmers.yaml",".yaml","1575","30-08-2026 01:28:07"
".claude\worktrees\jolly-feynman-9d174f\docs\openapi-stubs-marketplace.yaml","openapi-stubs-marketplace.yaml",".yaml","1439","30-08-2026 01:28:07"
".claude\worktrees\jolly-feynman-9d174f\frontend\android\capacitor.settings.gradle","capacitor.settings.gradle",".gradle","210","30-08-2026 01:28:07"
".claude\worktrees\jolly-feynman-9d174f\frontend\android\settings.gradle","settings.gradle",".gradle","212","30-08-2026 01:28:07"
".claude\worktrees\jolly-feynman-9d174f\frontend\capacitor.config.json","capacitor.config.json",".json","80","30-08-2026 01:28:07"
".claude\worktrees\jolly-feynman-9d174f\frontend\src-tauri\Cargo.toml","Cargo.toml",".toml","2987","30-08-2026 01:28:07"
".claude\worktrees\jolly-feynman-9d174f\frontend\tailwind.config.js","tailwind.config.js",".js","3686","30-08-2026 01:28:09"
".claude\worktrees\jolly-feynman-9d174f\frontend\vite.config.js","vite.config.js",".js","1407","30-08-2026 01:28:09"
".claude\worktrees\jolly-feynman-9d174f\infra\k8s\mlflow-configmap.yaml","mlflow-configmap.yaml",".yaml","185","30-08-2026 01:28:09"
".claude\worktrees\jolly-feynman-9d174f\infra\k8s\mlflow-deployment.yaml","mlflow-deployment.yaml",".yaml","685","30-08-2026 01:28:09"
".claude\worktrees\jolly-feynman-9d174f\infra\k8s\mlflow-namespace.yaml","mlflow-namespace.yaml",".yaml","60","30-08-2026 01:28:09"
".claude\worktrees\jolly-feynman-9d174f\infra\k8s\mlflow-service.yaml","mlflow-service.yaml",".yaml","208","30-08-2026 01:28:09"
".claude\worktrees\musing-bartik-79ce5a\.claude\settings.local.json","settings.local.json",".json","48371","28-08-2026 14:27:19"
".claude\worktrees\musing-bartik-79ce5a\.cursor\settings.json","settings.json",".json","37","30-08-2026 01:28:07"
".claude\worktrees\musing-bartik-79ce5a\.devin\environment.yaml","environment.yaml",".yaml","7752","30-08-2026 01:28:07"
".claude\worktrees\musing-bartik-79ce5a\.github\workflows\ci.yml","ci.yml",".yml","18495","30-08-2026 01:28:07"
".claude\worktrees\musing-bartik-79ce5a\.vibecheck\flow\config.json","config.json",".json","373","30-08-2026 01:28:07"
".claude\worktrees\musing-bartik-79ce5a\backend\.env.example",".env.example",".example","7195","30-08-2026 01:28:07"
".claude\worktrees\musing-bartik-79ce5a\backend\.github\workflows\ci-cd.yml","ci-cd.yml",".yml","6141","30-08-2026 01:28:07"
".claude\worktrees\musing-bartik-79ce5a\backend\docker-compose.yml","docker-compose.yml",".yml","3631","30-08-2026 01:28:07"
".claude\worktrees\musing-bartik-79ce5a\backend\Dockerfile","Dockerfile","","1056","30-08-2026 01:28:07"
".claude\worktrees\musing-bartik-79ce5a\backend\jest.config.js","jest.config.js",".js","1212","30-08-2026 01:28:07"
".claude\worktrees\musing-bartik-79ce5a\backend\src\database\migrations\1001_platform_configuration.sql","1001_platform_configuration.sql",".sql","572","30-08-2026 01:28:08"
".claude\worktrees\musing-bartik-79ce5a\backend\src\routes\platformConfigurationRoutes.js","platformConfigurationRoutes.js",".js","4884","30-08-2026 01:28:10"
".claude\worktrees\musing-bartik-79ce5a\backend\src\services\platformConfigurationService.js","platformConfigurationService.js",".js","15646","30-08-2026 01:28:10"
".claude\worktrees\musing-bartik-79ce5a\docs\openapi-stubs-farmers.yaml","openapi-stubs-farmers.yaml",".yaml","1575","30-08-2026 01:28:10"
".claude\worktrees\musing-bartik-79ce5a\docs\openapi-stubs-marketplace.yaml","openapi-stubs-marketplace.yaml",".yaml","1439","30-08-2026 01:28:10"
".claude\worktrees\musing-bartik-79ce5a\frontend\android\capacitor.settings.gradle","capacitor.settings.gradle",".gradle","210","30-08-2026 01:28:11"
".claude\worktrees\musing-bartik-79ce5a\frontend\android\settings.gradle","settings.gradle",".gradle","212","30-08-2026 01:28:11"
".claude\worktrees\musing-bartik-79ce5a\frontend\capacitor.config.json","capacitor.config.json",".json","87","30-08-2026 01:28:11"
".claude\worktrees\musing-bartik-79ce5a\frontend\postcss.config.cjs","postcss.config.cjs",".cjs","88","30-08-2026 01:28:11"
".claude\worktrees\musing-bartik-79ce5a\frontend\src-tauri\Cargo.toml","Cargo.toml",".toml","2986","30-08-2026 01:28:11"
".claude\worktrees\musing-bartik-79ce5a\frontend\tailwind.config.js","tailwind.config.js",".js","4171","30-08-2026 01:28:13"
".claude\worktrees\musing-bartik-79ce5a\frontend\vite.config.js","vite.config.js",".js","5948","30-08-2026 01:28:13"
".claude\worktrees\musing-bartik-79ce5a\infra\k8s\mlflow-configmap.yaml","mlflow-configmap.yaml",".yaml","185","30-08-2026 01:28:13"
".claude\worktrees\musing-bartik-79ce5a\infra\k8s\mlflow-deployment.yaml","mlflow-deployment.yaml",".yaml","685","30-08-2026 01:28:13"
".claude\worktrees\musing-bartik-79ce5a\infra\k8s\mlflow-namespace.yaml","mlflow-namespace.yaml",".yaml","60","30-08-2026 01:28:13"
".claude\worktrees\musing-bartik-79ce5a\infra\k8s\mlflow-service.yaml","mlflow-service.yaml",".yaml","208","30-08-2026 01:28:13"
".claude\worktrees\reverent-hellman-fc7e32\.claude\settings.local.json","settings.local.json",".json","48371","28-08-2026 14:27:19"
".claude\worktrees\reverent-hellman-fc7e32\.cursor\settings.json","settings.json",".json","37","30-08-2026 01:27:55"
".claude\worktrees\reverent-hellman-fc7e32\.devin\environment.yaml","environment.yaml",".yaml","7752","30-08-2026 01:27:55"
".claude\worktrees\reverent-hellman-fc7e32\.github\workflows\ci.yml","ci.yml",".yml","18495","30-08-2026 01:27:55"
".claude\worktrees\reverent-hellman-fc7e32\.vibecheck\flow\config.json","config.json",".json","373","30-08-2026 01:27:55"
".claude\worktrees\reverent-hellman-fc7e32\backend\.env.example",".env.example",".example","7195","30-08-2026 01:27:55"
".claude\worktrees\reverent-hellman-fc7e32\backend\.github\workflows\ci-cd.yml","ci-cd.yml",".yml","6141","30-08-2026 01:27:56"
".claude\worktrees\reverent-hellman-fc7e32\backend\docker-compose.yml","docker-compose.yml",".yml","3631","30-08-2026 01:27:56"
".claude\worktrees\reverent-hellman-fc7e32\backend\Dockerfile","Dockerfile","","1056","30-08-2026 01:27:56"
".claude\worktrees\reverent-hellman-fc7e32\backend\jest.config.js","jest.config.js",".js","1212","30-08-2026 01:27:56"
".claude\worktrees\reverent-hellman-fc7e32\backend\src\database\migrations\1001_platform_configuration.sql","1001_platform_configuration.sql",".sql","572","30-08-2026 01:27:56"
".claude\worktrees\reverent-hellman-fc7e32\backend\src\routes\platformConfigurationRoutes.js","platformConfigurationRoutes.js",".js","4884","30-08-2026 01:27:57"
".claude\worktrees\reverent-hellman-fc7e32\backend\src\services\platformConfigurationService.js","platformConfigurationService.js",".js","15646","30-08-2026 01:27:58"
".claude\worktrees\reverent-hellman-fc7e32\docs\openapi-stubs-farmers.yaml","openapi-stubs-farmers.yaml",".yaml","1575","30-08-2026 01:27:58"
".claude\worktrees\reverent-hellman-fc7e32\docs\openapi-stubs-marketplace.yaml","openapi-stubs-marketplace.yaml",".yaml","1439","30-08-2026 01:27:58"
".claude\worktrees\reverent-hellman-fc7e32\frontend\android\capacitor.settings.gradle","capacitor.settings.gradle",".gradle","210","30-08-2026 01:27:58"
".claude\worktrees\reverent-hellman-fc7e32\frontend\android\settings.gradle","settings.gradle",".gradle","212","30-08-2026 01:27:58"
".claude\worktrees\reverent-hellman-fc7e32\frontend\capacitor.config.json","capacitor.config.json",".json","87","30-08-2026 01:27:58"
".claude\worktrees\reverent-hellman-fc7e32\frontend\postcss.config.cjs","postcss.config.cjs",".cjs","88","30-08-2026 01:27:58"
".claude\worktrees\reverent-hellman-fc7e32\frontend\src-tauri\Cargo.toml","Cargo.toml",".toml","2986","30-08-2026 01:27:58"
".claude\worktrees\reverent-hellman-fc7e32\frontend\tailwind.config.js","tailwind.config.js",".js","4171","30-08-2026 01:28:01"
".claude\worktrees\reverent-hellman-fc7e32\frontend\vite.config.js","vite.config.js",".js","5948","30-08-2026 01:28:01"
".claude\worktrees\reverent-hellman-fc7e32\infra\k8s\mlflow-configmap.yaml","mlflow-configmap.yaml",".yaml","185","30-08-2026 01:28:01"
".claude\worktrees\reverent-hellman-fc7e32\infra\k8s\mlflow-deployment.yaml","mlflow-deployment.yaml",".yaml","685","30-08-2026 01:28:01"
".claude\worktrees\reverent-hellman-fc7e32\infra\k8s\mlflow-namespace.yaml","mlflow-namespace.yaml",".yaml","60","30-08-2026 01:28:01"
".claude\worktrees\reverent-hellman-fc7e32\infra\k8s\mlflow-service.yaml","mlflow-service.yaml",".yaml","208","30-08-2026 01:28:01"
".cursor\settings.json","settings.json",".json","34","03-08-2026 15:23:44"
".devin\config.local.json","config.local.json",".json","914","02-09-2026 15:05:44"
".devin\environment.yaml","environment.yaml",".yaml","7558","04-08-2026 13:45:06"
".env.database.example",".env.database.example",".example","534","30-08-2026 08:17:46"
".env.production",".env.production",".production","1283","30-08-2026 08:17:46"
".github\workflows\ci.yml","ci.yml",".yml","19547","03-09-2026 08:40:08"
".vibecheck\flow\config.json","config.json",".json","361","03-08-2026 13:45:02"
".vscode\settings.json","settings.json",".json","235","24-08-2026 09:22:29"
"backend\.env",".env",".env","175","04-09-2026 16:42:20"
"backend\.env.backup",".env.backup",".backup","1575","03-09-2026 18:14:49"
"backend\.env.example",".env.example",".example","930","04-09-2026 14:19:23"
"backend\.github\workflows\ci-cd.yml","ci-cd.yml",".yml","5930","03-08-2026 22:01:34"
"backend\docker-compose.yml","docker-compose.yml",".yml","4956","30-08-2026 08:17:47"
"backend\Dockerfile","Dockerfile","","305","03-09-2026 18:27:43"
"backend\jest.config.js","jest.config.js",".js","532","03-09-2026 08:40:08"
"backend\src\database\migrations\1001_platform_configuration.sql","1001_platform_configuration.sql",".sql","1395","30-08-2026 18:17:55"
"backend\src\database\migrations\9501_m002_platform_configuration.sql","9501_m002_platform_configuration.sql",".sql","1336","30-08-2026 08:17:47"
"backend\src\routes\platformConfigurationRoutes.js","platformConfigurationRoutes.js",".js","7288","03-09-2026 08:40:08"
"backend\src\services\claude\unifiedConfigService.js","unifiedConfigService.js",".js","9108","30-08-2026 08:17:50"
"backend\src\services\legacy\platformConfigurationService.js","platformConfigurationService.js",".js","16605","30-08-2026 08:17:51"
"backend\src\services\unifiedConfigService.js","unifiedConfigService.js",".js","163","30-08-2026 08:17:51"
"docker-compose.database.yml","docker-compose.database.yml",".yml","1267","30-08-2026 08:17:51"
"docker-compose.dev.yml","docker-compose.dev.yml",".yml","1133","03-09-2026 17:18:44"
"docker-compose.full.yml","docker-compose.full.yml",".yml","2437","03-09-2026 18:27:39"
"docker-compose.yml","docker-compose.yml",".yml","2625","03-09-2026 08:40:08"
"docker-compose-postgres.yml","docker-compose-postgres.yml",".yml","1138","04-09-2026 14:24:26"
"Dockerfile","Dockerfile","","1520","03-09-2026 08:40:08"
"docs\openapi-stubs-farmers.yaml","openapi-stubs-farmers.yaml",".yaml","1575","05-08-2026 15:13:52"
"docs\openapi-stubs-marketplace.yaml","openapi-stubs-marketplace.yaml",".yaml","1439","05-08-2026 15:14:07"
"frontend\.env.example",".env.example",".example","2397","04-09-2026 18:16:32"
"frontend\android\capacitor.settings.gradle","capacitor.settings.gradle",".gradle","210","30-08-2026 08:17:51"
"frontend\android\settings.gradle","settings.gradle",".gradle","212","30-08-2026 08:17:51"
"frontend\babel.config.cjs","babel.config.cjs",".cjs","240","03-09-2026 08:40:08"
"frontend\capacitor.config.json","capacitor.config.json",".json","87","30-08-2026 08:17:51"
"frontend\Dockerfile","Dockerfile","","310","03-09-2026 18:27:48"
"frontend\jest.config.js","jest.config.js",".js","692","30-08-2026 08:17:51"
"frontend\postcss.config.cjs","postcss.config.cjs",".cjs","99","04-09-2026 12:43:44"
"frontend\src\components\Modals\SettingsModal.jsx","SettingsModal.jsx",".jsx","756","03-09-2026 13:59:17"
"frontend\src\pages\admin\IntegrationSettings.jsx","IntegrationSettings.jsx",".jsx","661","03-09-2026 13:59:17"
"frontend\src\pages\admin\SecuritySettings.jsx","SecuritySettings.jsx",".jsx","649","03-09-2026 13:59:17"
"frontend\src\pages\admin\SystemConfiguration.jsx","SystemConfiguration.jsx",".jsx","661","03-09-2026 13:59:17"
"frontend\src\pages\mobile\MobileSettings.jsx","MobileSettings.jsx",".jsx","641","03-09-2026 13:59:17"
"frontend\src-tauri\Cargo.toml","Cargo.toml",".toml","2986","30-08-2026 08:17:51"
"frontend\tailwind.config.js","tailwind.config.js",".js","5260","30-08-2026 08:17:54"
"frontend\vite.config.js","vite.config.js",".js","6417","04-09-2026 12:38:45"
"infra\k8s\mlflow-configmap.yaml","mlflow-configmap.yaml",".yaml","185","05-08-2026 17:23:53"
"infra\k8s\mlflow-deployment.yaml","mlflow-deployment.yaml",".yaml","685","30-08-2026 08:17:54"
"infra\k8s\mlflow-namespace.yaml","mlflow-namespace.yaml",".yaml","60","05-08-2026 17:25:44"
"infra\k8s\mlflow-service.yaml","mlflow-service.yaml",".yaml","208","05-08-2026 17:24:01"
"render.yaml","render.yaml",".yaml","1995","30-08-2026 08:17:55"
"settings.local.json","settings.local.json",".json","48879","30-08-2026 08:17:55"
