"File","Role","PathClass","InDegree","OutDegree","TotalDegree"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\nutritionIntelligenceService.js","SERVICE","PRODUCTION_OR_REVIEW","7","2","9"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiCopilotService.js","SERVICE","PRODUCTION_OR_REVIEW","6","3","9"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\analyticsService.js","SERVICE","PRODUCTION_OR_REVIEW","7","1","8"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiDecisionService.js","SERVICE","PRODUCTION_OR_REVIEW","3","5","8"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\decisionSupportService.js","SERVICE","PRODUCTION_OR_REVIEW","7","1","8"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\dynamicPricingService.js","SERVICE","PRODUCTION_OR_REVIEW","3","5","8"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiService.js","SERVICE","PRODUCTION_OR_REVIEW","7","1","8"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\controller.js","CONTROLLER","PRODUCTION_OR_REVIEW","1","7","8"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\fertilizerInventoryService.js","SERVICE","PRODUCTION_OR_REVIEW","2","6","8"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\productReviewService.js","SERVICE","PRODUCTION_OR_REVIEW","3","4","7"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\ai\aiSystem.js","AI_ML","PRODUCTION_OR_REVIEW","2","5","7"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\livestockRouteSupport.js","ROUTE","PRODUCTION_OR_REVIEW","6","1","7"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiGatewayService.js","SERVICE","PRODUCTION_OR_REVIEW","6","1","7"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\ecommerceIntegrationService.js","SERVICE","PRODUCTION_OR_REVIEW","3","4","7"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\governmentSchemeService.js","SERVICE","PRODUCTION_OR_REVIEW","4","3","7"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiService\router.js","SERVICE","PRODUCTION_OR_REVIEW","1","6","7"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\financialAIService.js","SERVICE","PRODUCTION_OR_REVIEW","3","4","7"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\orderService.js","SERVICE","PRODUCTION_OR_REVIEW","3","4","7"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\authService.js","MIDDLEWARE_OR_AUTH","PRODUCTION_OR_REVIEW","4","2","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\regionalVarietyService.js","SERVICE","PRODUCTION_OR_REVIEW","2","4","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\recipeIntelligenceService.js","SERVICE","PRODUCTION_OR_REVIEW","2","4","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\roleManagementService.js","SERVICE","PRODUCTION_OR_REVIEW","3","3","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiCoordinationService.js","SERVICE","PRODUCTION_OR_REVIEW","1","5","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\logisticsAIService.js","SERVICE","PRODUCTION_OR_REVIEW","2","4","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\poultryService.js","SERVICE","PRODUCTION_OR_REVIEW","3","3","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\assetAccountingService.js","SERVICE","PRODUCTION_OR_REVIEW","3","3","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\transactionService.js","SERVICE","PRODUCTION_OR_REVIEW","3","3","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\productMediaAIService.js","SERVICE","PRODUCTION_OR_REVIEW","4","2","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\complianceService.js","SERVICE","PRODUCTION_OR_REVIEW","3","3","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerPortalEnhancements.js","ROUTE","PRODUCTION_OR_REVIEW","1","5","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\landRecordsService.js","SERVICE","PRODUCTION_OR_REVIEW","4","2","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\systemAdministrationService.js","SERVICE","PRODUCTION_OR_REVIEW","3","3","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\mcda.js","OTHER","PRODUCTION_OR_REVIEW","5","1","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\cropPlanningService.js","SERVICE","PRODUCTION_OR_REVIEW","3","3","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\farmerValueService.js","SERVICE","PRODUCTION_OR_REVIEW","3","3","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\soilTestingService.js","SERVICE","PRODUCTION_OR_REVIEW","2","4","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\utils\testFallbackStore.js","OTHER","PRODUCTION_OR_REVIEW","5","1","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiStrategyService.js","SERVICE","PRODUCTION_OR_REVIEW","3","3","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\logisticsService.js","SERVICE","PRODUCTION_OR_REVIEW","2","4","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiAgentService.js","SERVICE","PRODUCTION_OR_REVIEW","1","5","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\agriculturalIntelligenceService.js","SERVICE","PRODUCTION_OR_REVIEW","3","3","6"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\animalHealthService.js","SERVICE","PRODUCTION_OR_REVIEW","3","2","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\insuranceEnhancements.js","ROUTE","PRODUCTION_OR_REVIEW","1","4","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\consumerHealthService.js","SERVICE","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\machineryAccessService.js","SERVICE","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\preSeasonOrderService.js","SERVICE","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\farmerService.js","SERVICE","PRODUCTION_OR_REVIEW","3","2","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\sheepService.js","SERVICE","PRODUCTION_OR_REVIEW","3","2","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\advancedAIService.js","SERVICE","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\insuranceService.js","SERVICE","PRODUCTION_OR_REVIEW","3","2","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\notificationService.js","SERVICE","PRODUCTION_OR_REVIEW","3","2","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\coldStorageService.js","SERVICE","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\websocket\index.js","REALTIME","PRODUCTION_OR_REVIEW","4","1","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\platformConfigurationService.js","SERVICE","PRODUCTION_OR_REVIEW","1","4","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\organicTraceabilityService.js","SERVICE","PRODUCTION_OR_REVIEW","3","2","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\cooperativeShareService.js","SERVICE","PRODUCTION_OR_REVIEW","3","2","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiCopilotService.js","SERVICE","PRODUCTION_OR_REVIEW","1","4","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\insuranceAIService.js","SERVICE","PRODUCTION_OR_REVIEW","1","4","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\marketplaceEnhancements.js","ROUTE","PRODUCTION_OR_REVIEW","1","4","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\ai\index.js","AI_ML","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\productService.js","SERVICE","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\platformCoreService.js","SERVICE","PRODUCTION_OR_REVIEW","1","4","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\orderAIService.js","SERVICE","PRODUCTION_OR_REVIEW","1","4","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\cropManagementService.js","SERVICE","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\organizationManagementService.js","SERVICE","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\tenantManagementService.js","SERVICE","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\knowledgeGraphService.js","SERVICE","PRODUCTION_OR_REVIEW","3","2","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\arVrService.js","SERVICE","PRODUCTION_OR_REVIEW","1","4","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiCollaborationService.js","SERVICE","PRODUCTION_OR_REVIEW","4","1","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\productAIService.js","SERVICE","PRODUCTION_OR_REVIEW","1","4","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","4","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\engineeringProjectService.js","SERVICE","PRODUCTION_OR_REVIEW","3","2","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\revenueService.js","SERVICE","PRODUCTION_OR_REVIEW","3","2","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\bulkOrderService.js","SERVICE","PRODUCTION_OR_REVIEW","3","2","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\ownership.js","MIDDLEWARE_OR_AUTH","PRODUCTION_OR_REVIEW","4","1","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\finance\gstService.js","SERVICE","PRODUCTION_OR_REVIEW","2","3","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\walletService.js","SERVICE","PRODUCTION_OR_REVIEW","4","1","5"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\goatService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\hrService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M017\routes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\ecommerceMarketingService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\experienceLayerService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\returnLoadBoardService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\procurementSubscriptionService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\ruralFinanceService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\recoveredFinanceService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\marketAccessService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiAgenticCompanionService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\costControlService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiTrainingEvaluationRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiOrchestrationService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\climateMonitoringService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\enterpriseControlService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\riskPricingService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\rfqService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M030\routes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\finance\enterpriseAccountingService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\fisheriesService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiProviderService.js","SERVICE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\weatherService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\seedVaultService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\seedVaultRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\productService.js","SERVICE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\insurancePolicyIssuanceService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\conversationalAIService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\gstService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\ecommerceService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\buyingClubService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M029\service.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\adminAuditDomainRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M001_PLATFORM_CORE\backend\service.js","SERVICE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiRecoveryService.js","SERVICE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\ecommerceBusinessSalesService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\dprGenerationService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\identityManagementService.js","SERVICE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiAdvisoryService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\defenseFitnessPrepService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\middleware\resolveFarmerId.js","MIDDLEWARE_OR_AUTH","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\smsAuthService.js","MIDDLEWARE_OR_AUTH","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\comprehensiveERPDomainRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\companyService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\livestockManagementService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\insuranceClaimsService.js","SERVICE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\goatRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\riskPricingRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\ecommerceERPService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\dual-use\gdprService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\claude\aiCopilotRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\insurancePremiumService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\cropValueResearchService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\custodyEventRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M019\routes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\claude\aiOptimizationService.js","SERVICE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\dairyService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\claude\aiDecisionRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\civilDisruptionService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\comprehensiveERPService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\erpAgents.js","OTHER","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\householdEconomyService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\sharedInfrastructureService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\giIntelligenceService.js","SERVICE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\sheepRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\claude\financialAIRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\decisionSupportRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\analyticsMonitoringService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\pigRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\marketIntelligenceService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\service.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\jobQueueService.js","SERVICE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\core\ai\aiOrchestratorCore.js","AI_ML","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\equipmentExchangeService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\ecommerceAIService.js","SERVICE","PRODUCTION_OR_REVIEW","3","1","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\renewableEnergyService.js","SERVICE","PRODUCTION_OR_REVIEW","2","2","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\m400AiBackboneRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\agriculture\farmerHealthRoutes.js","ROUTE","PRODUCTION_OR_REVIEW","1","3","4"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\whatsappService.js","SERVICE","PRODUCTION_OR_REVIEW","1","3","4"
