
Category Name                               Path                                       Size
Root     FoodIntelligenceEngine.js          food\FoodIntelligenceEngine.js            13381
Legacy   advancedAIService.js               legacy\advancedAIService.js               61412
Legacy   advancedFeaturesService.js         legacy\advancedFeaturesService.js         16803
Legacy   agriculturalIntelligenceService.js legacy\agriculturalIntelligenceService.js 14354
Legacy   aiAdvisoryService.js               legacy\aiAdvisoryService.js                9878
Legacy   aiAgenticCompanionService.js       legacy\aiAgenticCompanionService.js       26413
Legacy   aiBackboneService.js               legacy\aiBackboneService.js               29916
Legacy   aiBrainService.js                  legacy\aiBrainService.js                  15665
Legacy   aiCopilotService.js                legacy\aiCopilotService.js                28272
Legacy   aiGatewayService.js                legacy\aiGatewayService.js                15616
Legacy   aiOperationIntelligenceService.js  legacy\aiOperationIntelligenceService.js  19586
Legacy   aiOrchestrationService.js          legacy\aiOrchestrationService.js           3087
Legacy   aiSelfHealingService.js            legacy\aiSelfHealingService.js            20153
Legacy   aiService.js                       legacy\aiService.js                       23586
Legacy   analyticsMonitoringService.js      legacy\analyticsMonitoringService.js      13766
Legacy   analyticsService.js                legacy\analyticsService.js                21371
Legacy   animalHealthService.js             legacy\animalHealthService.js             21337
Legacy   apicultureService.js               legacy\apicultureService.js                3767
Legacy   arVrService.js                     legacy\arVrService.js                     19257
Legacy   assetAccountingService.js          legacy\assetAccountingService.js          16828
Legacy   auditService.js                    legacy\auditService.js                     9955
Legacy   backupService.js                   legacy\backupService.js                   10571
Legacy   biodiversityService.js             legacy\biodiversityService.js             30529
Legacy   blockchainTraceabilityService.js   legacy\blockchainTraceabilityService.js   24802
Legacy   bulkOrderService.js                legacy\bulkOrderService.js                14778
Legacy   buyingClubService.js               legacy\buyingClubService.js               12094
Legacy   catalogIntelligenceService.js      legacy\catalogIntelligenceService.js      22304
Legacy   civilDisruptionService.js          legacy\civilDisruptionService.js           6153
Legacy   climateMonitoringService.js        legacy\climateMonitoringService.js         2023
Legacy   coldStorageService.js              legacy\coldStorageService.js              12919
Legacy   commerceRulesService.js            legacy\commerceRulesService.js            14331
Legacy   communityManagementService.js      legacy\communityManagementService.js       1897
Legacy   companyService.js                  legacy\companyService.js                   2007
Legacy   completeAIIntegrationService.js    legacy\completeAIIntegrationService.js    43361
Legacy   completeERPIntegrationService.js   legacy\completeERPIntegrationService.js   34593
Legacy   complianceService.js               legacy\complianceService.js               11683
Legacy   comprehensiveERPService.js         legacy\comprehensiveERPService.js         66683
Legacy   consumerHealthService.js           legacy\consumerHealthService.js           29369
Legacy   conversationalAIService.js         legacy\conversationalAIService.js         18624
Legacy   cooperativeShareService.js         legacy\cooperativeShareService.js          8161
Legacy   costControlService.js              legacy\costControlService.js              17331
Legacy   costService.js                     legacy\costService.js                      3512
Legacy   cropManagementService.js           legacy\cropManagementService.js            2636
Legacy   cropPlanningService.js             legacy\cropPlanningService.js             15532
Legacy   cropValueResearchService.js        legacy\cropValueResearchService.js         7740
Legacy   custodyEventRoutes.js              legacy\custodyEventRoutes.js               6132
Legacy   custodyEventService.js             legacy\custodyEventService.js             14203
Legacy   dairyService.js                    legacy\dairyService.js                    24292
Legacy   decisionSupportService.js          legacy\decisionSupportService.js          14777
Legacy   defenseFitnessPrepService.js       legacy\defenseFitnessPrepService.js        3589
Legacy   demandService.js                   legacy\demandService.js                    6641
Legacy   digitalProductPassportService.js   legacy\digitalProductPassportService.js   35108
Legacy   digitalTwinService.js              legacy\digitalTwinService.js              27468
Legacy   dprGenerationService.js            legacy\dprGenerationService.js            20997
Legacy   dynamicPricingService.js           legacy\dynamicPricingService.js           43132
Legacy   ecommerceAIService.js              legacy\ecommerceAIService.js              30013
Legacy   ecommerceBusinessSalesService.js   legacy\ecommerceBusinessSalesService.js   20858
Legacy   ecommerceERPService.js             legacy\ecommerceERPService.js             20693
Legacy   ecommerceIntegrationService.js     legacy\ecommerceIntegrationService.js     26766
Legacy   ecommerceMarketingService.js       legacy\ecommerceMarketingService.js       23908
Legacy   ecommerceService.js                legacy\ecommerceService.js                20886
Legacy   engineeringProjectService.js       legacy\engineeringProjectService.js       11721
Legacy   enterpriseControlService.js        legacy\enterpriseControlService.js        22654
Legacy   enterpriseMemoryService.js         legacy\enterpriseMemoryService.js         16028
Legacy   equipmentExchangeService.js        legacy\equipmentExchangeService.js         4275
Legacy   erpService.js                      legacy\erpService.js                      29613
Legacy   escrowService.js                   legacy\escrowService.js                    9413
Legacy   experienceLayerService.js          legacy\experienceLayerService.js          17870
Legacy   farmerFamilyService.js             legacy\farmerFamilyService.js               640
Legacy   farmerService.js                   legacy\farmerService.js                   22717
Legacy   farmerTrainingService.js           legacy\farmerTrainingService.js           24171
Legacy   farmerValueService.js              legacy\farmerValueService.js              18835
Legacy   fertilizerInventoryService.js      legacy\fertilizerInventoryService.js      11155
Legacy   financialService.js                legacy\financialService.js                27138
Legacy   fisheriesManagementService.js      legacy\fisheriesManagementService.js       3457
Legacy   fisheriesService.js                legacy\fisheriesService.js                 4378
Legacy   foluBenchmarkService.js            legacy\foluBenchmarkService.js             8566
Legacy   foodIntelligenceService.js         legacy\foodIntelligenceService.js         25453
Legacy   foodSafetyService.js               legacy\foodSafetyService.js               31828
Legacy   forestryService.js                 legacy\forestryService.js                  3742
Legacy   formService.js                     legacy\formService.js                     14551
Legacy   freightPoolingService.js           legacy\freightPoolingService.js            7848
Legacy   geofencingService.js               legacy\geofencingService.js               13725
Legacy   giIntelligenceService.js           legacy\giIntelligenceService.js           23038
Legacy   glutWarningService.js              legacy\glutWarningService.js               4294
Legacy   goatService.js                     legacy\goatService.js                     39312
Legacy   governanceService.js               legacy\governanceService.js               19040
Legacy   governmentSchemeService.js         legacy\governmentSchemeService.js         29994
Legacy   greenhouseService.js               legacy\greenhouseService.js               16371
Legacy   gstService.js                      legacy\gstService.js                      27636
Legacy   horticultureManagementService.js   legacy\horticultureManagementService.js    2747
Legacy   householdEconomyService.js         legacy\householdEconomyService.js          7061
Legacy   hrService.js                       legacy\hrService.js                       32178
Legacy   identityManagementService.js       legacy\identityManagementService.js        5205
Legacy   indigenousKnowledgeService.js      legacy\indigenousKnowledgeService.js      26446
Legacy   informationSharingService.js       legacy\informationSharingService.js       17733
Legacy   inputSupplyManagementService.js    legacy\inputSupplyManagementService.js     2674
Legacy   institutionalProcurementService.js legacy\institutionalProcurementService.js 32717
Legacy   insuranceClaimsService.js          legacy\insuranceClaimsService.js          18767
Legacy   insuranceFraudDetectionService.js  legacy\insuranceFraudDetectionService.js  19320
Legacy   insurancePolicyIssuanceService.js  legacy\insurancePolicyIssuanceService.js  14704
Legacy   insurancePremiumService.js         legacy\insurancePremiumService.js         12376
Legacy   insuranceService.js                legacy\insuranceService.js                19296
Legacy   iotIntegrationService.js           legacy\iotIntegrationService.js           19569
Legacy   iotSensorService.js                legacy\iotSensorService.js                21913
Legacy   irrigationManagementService.js     legacy\irrigationManagementService.js      1386
Legacy   knowledgeGraphService.js           legacy\knowledgeGraphService.js           12577
Legacy   knowledgeService.js                legacy\knowledgeService.js                23741
Legacy   laboratoryERPService.js            legacy\laboratoryERPService.js            17817
Legacy   landManagementService.js           legacy\landManagementService.js            2135
Legacy   landRecordsService.js              legacy\landRecordsService.js              14777
Legacy   libraryKnowledgeService.js         legacy\libraryKnowledgeService.js         10345
Legacy   livestockManagementService.js      legacy\livestockManagementService.js       3083
Legacy   logisticsEnhancementService.js     legacy\logisticsEnhancementService.js     28081
Legacy   logisticsService.js                legacy\logisticsService.js                20119
Legacy   machineryAccessService.js          legacy\machineryAccessService.js           7699
Legacy   marketAccessService.js             legacy\marketAccessService.js              6982
Legacy   marketDataService.js               legacy\marketDataService.js               17652
Legacy   marketIntelligenceService.js       legacy\marketIntelligenceService.js        6250
Legacy   merchandisingService.js            legacy\merchandisingService.js            17088
Legacy   millCircuitService.js              legacy\millCircuitService.js               8995
Legacy   mobilityRidesService.js            legacy\mobilityRidesService.js             8108
Legacy   moduleCatalogService.js            legacy\moduleCatalogService.js             9081
Legacy   multilingualService.js             legacy\multilingualService.js             28153
Legacy   mushroomService.js                 legacy\mushroomService.js                  3998
Legacy   neProductIntelligenceService.js    legacy\neProductIntelligenceService.js    15062
Legacy   nutrientValueSalesService.js       legacy\nutrientValueSalesService.js       29248
Legacy   nutritionIntelligenceService.js    legacy\nutritionIntelligenceService.js    43322
Legacy   ocrService.js                      legacy\ocrService.js                       6008
Legacy   offlinePaymentService.js           legacy\offlinePaymentService.js           21857
Legacy   offlineSyncService.js              legacy\offlineSyncService.js              26104
Legacy   omnichannelAIService.js            legacy\omnichannelAIService.js            24925
Legacy   operationsManagementService.js     legacy\operationsManagementService.js      2662
Legacy   orderService.js                    legacy\orderService.js                    28722
Legacy   organicTraceabilityService.js      legacy\organicTraceabilityService.js      27171
Legacy   organizationManagementService.js   legacy\organizationManagementService.js   16609
Legacy   pigService.js                      legacy\pigService.js                      39274
Legacy   platformConfigurationService.js    legacy\platformConfigurationService.js    16605
Legacy   platformTelemetryService.js        legacy\platformTelemetryService.js         3789
Legacy   poultryService.js                  legacy\poultryService.js                  37260
Legacy   predictiveAnalyticsService.js      legacy\predictiveAnalyticsService.js      15366
Legacy   preSeasonOrderService.js           legacy\preSeasonOrderService.js           23612
Legacy   preventiveMaintenanceService.js    legacy\preventiveMaintenanceService.js     1835
Legacy   procurementSubscriptionService.js  legacy\procurementSubscriptionService.js  11731
Legacy   productMediaAIService.js           legacy\productMediaAIService.js            9039
Legacy   productReviewService.js            legacy\productReviewService.js            13069
Legacy   productService.js                  legacy\productService.js                  19711
Legacy   projectSystemsService.js           legacy\projectSystemsService.js           20597
Legacy   realtimeMonitoringService.js       legacy\realtimeMonitoringService.js       15766
Legacy   recipeIntelligenceService.js       legacy\recipeIntelligenceService.js       30310
Legacy   recoveredFinanceService.js         legacy\recoveredFinanceService.js         12181
Legacy   regionalVarietyService.js          legacy\regionalVarietyService.js           5495
Legacy   renewableEnergyService.js          legacy\renewableEnergyService.js           9992
Legacy   researchAndDevelopmentService.js   legacy\researchAndDevelopmentService.js   22190
Legacy   resourceCrudFactory.js             legacy\resourceCrudFactory.js              4134
Legacy   returnLoadBoardService.js          legacy\returnLoadBoardService.js           3131
Legacy   revenueService.js                  legacy\revenueService.js                   4626
Legacy   rfqService.js                      legacy\rfqService.js                      10729
Legacy   riskPricingService.js              legacy\riskPricingService.js              18222
Legacy   roleManagementService.js           legacy\roleManagementService.js           10144
Legacy   ruralEnterpriseService.js          legacy\ruralEnterpriseService.js          11928
Legacy   ruralFinanceService.js             legacy\ruralFinanceService.js              7364
Legacy   sapModuleArchitectureService.js    legacy\sapModuleArchitectureService.js    13332
Legacy   seedVaultService.js                legacy\seedVaultService.js                 4285
Legacy   sellerRankingService.js            legacy\sellerRankingService.js             5670
Legacy   sericultureService.js              legacy\sericultureService.js               3870
Legacy   sharedInfraService.js              legacy\sharedInfraService.js              30269
Legacy   sharedInfrastructureService.js     legacy\sharedInfrastructureService.js     17494
Legacy   sheepService.js                    legacy\sheepService.js                    40855
Legacy   shelfLifeService.js                legacy\shelfLifeService.js                29439
Legacy   smsAuthService.js                  legacy\smsAuthService.js                  19873
Legacy   soilManagementService.js           legacy\soilManagementService.js            1305
Legacy   soilTestingService.js              legacy\soilTestingService.js              23214
Legacy   subsidyService.js                  legacy\subsidyService.js                  19258
Legacy   systemAdministrationService.js     legacy\systemAdministrationService.js     16249
Legacy   tenantManagementService.js         legacy\tenantManagementService.js         17585
Legacy   v42IntelligenceService.js          legacy\v42IntelligenceService.js          17409
Legacy   valueCommerceService.js            legacy\valueCommerceService.js            17345
Legacy   vermicompostService.js             legacy\vermicompostService.js              3928
Legacy   villageProfileService.js           legacy\villageProfileService.js           11432
Legacy   visionService.js                   legacy\visionService.js                    6265
Legacy   voiceAIService.js                  legacy\voiceAIService.js                  15763
Legacy   waterManagementService.js          legacy\waterManagementService.js           2204
Legacy   wearableIntegrationService.js      legacy\wearableIntegrationService.js      10462
Legacy   weatherService.js                  legacy\weatherService.js                  20433
Legacy   whatsappService.js                 legacy\whatsappService.js                 18738
Legacy   wikipediaService.js                legacy\wikipediaService.js                 4677
Root     contractFarmingService.js          strategic\contractFarmingService.js       27061
Root     governmentSubsidyService.js        strategic\governmentSubsidyService.js     35770
Root     householdProcurementService.js     strategic\householdProcurementService.js  24440
Root     preSeasonPurchaseService.js        strategic\preSeasonPurchaseService.js     26621
Root     authService.test.js                __tests__\authService.test.js              3329


