"Method","EffectivePath","RouterFile","StaticFrontendUse"
"GET","/api/v1/ecommerce-marketplace/seller-origins","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ecommerceMarketplaceDomainRoutes.js","False"
"GET","/api/v1/rfq/active-holds","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\rfqDomainRoutes.js","False"
"GET","/api/v1/backend-modules/M231/search","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M231\routes.js","False"
"GET","/api/costcontrol/cost-centers/:costCenterId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\costControlRoutes.js","False"
"GET","/api/v1/ai/library-workspace/orchestrator/tasks","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\libraryAIWorkspaceRoutes.js","False"
"GET","/api/v1/backend-modules/M129/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M129\routes.js","False"
"GET","/api/v1/ai-operation-intelligence/strategies","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiOperationIntelligenceDomainRoutes.js","False"
"POST","/api/v1/backend-modules/M247","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M247\routes.js","False"
"POST","/api/sheep/flock/:animalId/vaccinations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\sheepRoutes.js","False"
"DELETE","/api/v1/backend-modules/M226/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M226\routes.js","False"
"POST","/api/v1/backend-modules/M221","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M221\routes.js","False"
"POST","/api/folu/carbon/estimate","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\foluRoutes.js","False"
"POST","/api/v1/backend-modules/M065","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M065\routes.js","False"
"GET","/api/ai/copilot/analytics","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiCopilotService.js","False"
"POST","/api/v1/complete-erp-integration/sync-pig-production/:pigId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\completeERPIntegrationDomainRoutes.js","False"
"GET","/api/v1/backend-modules/M128/search","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M128\routes.js","False"
"POST","/api/rolemanagement/:id/permissions/:permissionId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\roleManagementRoutes.js","False"
"GET","/api/revenue/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\revenueRoutes.js","False"
"POST","/api/v1/agricultural-intelligence/predict-crop-yield","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\agriculturalIntelligenceDomainRoutes.js","False"
"GET","/api/v1/sheep/breeding-records","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\sheepDomainRoutes.js","False"
"POST","/api/v1/backend-modules/M151","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M151\routes.js","False"
"DELETE","/api/farmerhealth/health-records/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\agriculture\farmerHealthRoutes.js","False"
"GET","/api/v1/backend-modules/M168/search","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M168\routes.js","False"
"POST","/api/v1/financial-ai/ai-enhanced/process-loan","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\claude\financialAIRoutes.js","False"
"GET","/api/v1/insurance/policies","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\insuranceDomainRoutes.js","False"
"POST","/api/v1/backend-modules/M058/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M058\routes.js","False"
"POST","/api/v1/backend-modules/M150","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M150\routes.js","False"
"GET","/api/v1/backend-modules/M238/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M238\routes.js","False"
"GET","/api/v1/backend-modules/M036","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M036\routes.js","True"
"GET","/api/v1/backend-modules/M267","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M267\routes.js","True"
"POST","/api/geofencing/checkins","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\geofencingRoutes.js","False"
"GET","/api/v1/backend-modules/M63","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M63\routes.js","True"
"POST","/api/v1/backend-modules/M050","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M050\routes.js","False"
"POST","/api/v1/gdpr/data-inventory","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\gdprComplianceRoutes.js","False"
"DELETE","/api/v1/backend-modules/M053/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M053\routes.js","False"
"GET","/api/v1/backend-modules/M074/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M074\routes.js","False"
"GET","/api/v1/bulk-order/:orderId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOrderDomainRoutes.js","False"
"POST","/api/gdpr/data-inventory","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\gdprComplianceRoutes.js","False"
"GET","/api/v1/privacy/consent/:userId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\gdprRoutes.js","False"
"POST","/api/v1/backend-modules/M326/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M326\routes.js","False"
"POST","/api/v1/ai-brain/reasoning","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiBrainDomainRoutes.js","False"
"GET","/api/v1/monitoring/metrics","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\infrastructureMonitoringRoutes.js","False"
"DELETE","/api/v1/backend-modules/M289/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M289\routes.js","False"
"PUT","/api/v1/strategic/household/subscriptions/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\householdProcurementRoutes.js","False"
"GET","/api/v1/ai/copilot/nutrition/analysis","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\legacy\aiCopilotService.js","False"
"POST","/api/nutrientvaluesales/create-listing","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\nutrientValueSalesRoutes.js","False"
"POST","/api/v1/backend-modules/M064/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M064\routes.js","False"
"GET","/api/sapmodulearchitecture/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\sapModuleArchitectureRoutes.js","False"
"GET","/api/v1/forestry/:id/plantation","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\forestryRoutes.js","False"
"GET","/api/v1/library/find","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\libraryRoutes.js","False"
"GET","/api/nlp/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\nlp.js","False"
"GET","/api/datavisualization/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dataVisualization.js","False"
"DELETE","/api/v1/backend-modules/M284/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M284\routes.js","False"
"GET","/api/v1/sheep/flock","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\sheepDomainRoutes.js","False"
"PUT","/api/v1/backend-modules/M042/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M042\routes.js","False"
"GET","/api/v1/backend-modules/M137","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M137\routes.js","True"
"GET","/api/v1/library/dependencies/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\libraryRoutes.js","False"
"GET","/api/v1/ai/training/evaluation/analysis/:analysisType","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiTrainingEvaluationRoutes.js","False"
"GET","/api/v1/backend-modules/M317","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M317\routes.js","True"
"POST","/api/v1/ecommerce-business-sales/contract-farming","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ecommerceBusinessSalesDomainRoutes.js","False"
"POST","/api/v1/backend-modules/M042/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M042\routes.js","False"
"GET","/api/biometric/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\biometric.js","False"
"GET","/api/platformcore/configuration/optimized","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\platformCoreRoutes.js","False"
"GET","/api/v1/backend-modules/M297/search","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M297\routes.js","False"
"POST","/api/v1/backend-modules/M027","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M027\routes.js","False"
"DELETE","/api/v1/backend-modules/M104/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M104\routes.js","False"
"DELETE","/api/v1/backend-modules/M325/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M325\routes.js","False"
"GET","/api/v1/backend-modules/M005/environments/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M005\routes.js","False"
"GET","/api/financialanalytics/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\financialAnalytics.js","False"
"GET","/api/library-knowledge/statistics","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\libraryRoutes.js","False"
"POST","/api/v1/backend-modules/M111","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M111\routes.js","False"
"GET","/api/v1/backend-modules/M068/search","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M068\routes.js","False"
"PUT","/api/v1/backend-modules/M316/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M316\routes.js","False"
"POST","/api/v1/backend-modules/M295/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M295\routes.js","False"
"GET","/api/v1/backend-modules/M322/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M322\routes.js","False"
"POST","/api/v1/backend-modules/M327/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M327\routes.js","False"
"GET","/api/v1/backend-modules/M049/search","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M049\routes.js","False"
"DELETE","/api/v1/backend-modules/M321/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M321\routes.js","False"
"GET","/api/logisticsenhancements/warehouses","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\logisticsEnhancements.js","False"
"GET","/api/ecommercebusinesssales/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ecommerceBusinessSalesRoutes.js","False"
"DELETE","/api/v1/backend-modules/M057/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M057\routes.js","False"
"POST","/api/aiapproval/proposals","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiApprovalRoutes.js","False"
"PUT","/api/v1/backend-modules/M332/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M332\routes.js","False"
"POST","/api/v1/ecommerce-marketplace/listing","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ecommerceMarketplaceDomainRoutes.js","False"
"POST","/api/v1/backend-modules/M159","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M159\routes.js","False"
"POST","/api/v1/backend-modules/M305/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M305\routes.js","False"
"GET","/api/v1/backend-modules/M251","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M251\routes.js","True"
"DELETE","/api/v1/animal-health/treatment/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\animalHealthDomainRoutes.js","False"
"GET","/api/v1/backend-modules/M298","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M298\routes.js","True"
"GET","/api/v1/backend-modules/M041/villages/:villageId/finance","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M041\routes.js","False"
"GET","/api/v1/backend-modules/M273/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M273\routes.js","False"
"POST","/api/v1/backend-modules/M014/oauth/initiate","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M014\routes.js","False"
"GET","/api/ecommerceintegration/health-recommendations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ecommerceIntegrationRoutes.js","False"
"GET","/api/farmertraining/northeast-organic","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerTrainingRoutes.js","False"
"GET","/api/ecommerce/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ecommerceRoutes.js","False"
"POST","/api/v1/robotics/devices","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\roboticsRoutes.js","False"
"POST","/api/v1/backend-modules/M089/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M089\routes.js","False"
"POST","/api/v1/governance/csr-projects/:projectId/contributions","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\governanceModule.js","False"
"GET","/api/v1/backend-modules/M257/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M257\routes.js","False"
"GET","/api/aibackbone/status","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiBackboneRoutes.js","False"
"GET","/api/v1/sap-module-architecture/dependency-graph","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\sapModuleArchitectureDomainRoutes.js","False"
"PUT","/api/v1/backend-modules/M250/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M250\routes.js","False"
"GET","/api/v1/backend-modules/M314/search","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M314\routes.js","False"
"POST","/api/v1/backend-modules/M156","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M156\routes.js","False"
"GET","/api/sapmodulearchitecture/status","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\sapModuleArchitectureRoutes.js","False"
"POST","/api/ai/conversational","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\unifiedAIRoutes.js","False"
"GET","/api/v1/farm-costing","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmCosting.js","False"
"POST","/api/v1/backend-modules/M120/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M120\routes.js","False"
"GET","/api/governancemodule/csr-projects","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\governanceModule.js","False"
"POST","/api/v1/farmer-procurement/compare","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmerProcurementQuoteRoutes.js","False"
"DELETE","/api/v1/backend-modules/M339/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M339\routes.js","False"
"POST","/api/v1/sheep/vaccination-records","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\sheepDomainRoutes.js","False"
"POST","/api/v1/backend-modules/M333","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M333\routes.js","False"
"GET","/api/v1/backend-modules/M265","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M265\routes.js","True"
"POST","/api/v1/backend-modules/M010/notifications/:id/deliver","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M010\routes.js","False"
"POST","/api/v1/backend-modules/M018/privacy-policies/accept","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M018\routes.js","False"
"GET","/api/v1/backend-modules/M039/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M039\routes.js","False"
"POST","/api/v1/backend-modules/M017/consents/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M017\routes.js","False"
"GET","/api/cropplanning/weather-forecast","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cropPlanningRoutes.js","False"
"GET","/api/v1/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiDomainAdapterRoutes.js","False"
"POST","/api/paymentgateway/process","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\paymentGatewayRoutes.js","False"
"GET","/api/assetaccounting/assets/summary","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\assetAccountingRoutes.js","False"
"POST","/api/enterpriseai/entity-profile","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ai\enterpriseAIRoutes.js","False"
"GET","/api/dprgeneration","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dprGenerationRoutes.js","False"
"POST","/api/advancedsearch","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\advancedSearchRoutes.js","False"
"DELETE","/api/v1/backend-modules/M322/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M322\routes.js","False"
"PUT","/api/marketplaceenhancements/reviews/:reviewId/moderate","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\marketplaceEnhancements.js","False"
"POST","/api/v1/backend-modules/M329/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M329\routes.js","False"
"GET","/api/v1/artificial-scientist/runs/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\artificialScientistRoutes.js","False"
"GET","/api/v1/backend-modules/M302","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M302\routes.js","True"
"GET","/api/v1/backend-modules/M104/search","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M104\routes.js","False"
"GET","/api/v1/ai-operation-intelligence/detect-anomalies","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiOperationIntelligenceDomainRoutes.js","False"
"POST","/api/database-management/query/cache","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\databaseManagementRoutes.js","False"
"PUT","/api/v1/backend-modules/M216/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M216\routes.js","False"
"GET","/api/v1/backend-modules/M159/search","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M159\routes.js","False"
"DELETE","/api/v1/backend-modules/M103/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M103\routes.js","False"
"GET","/api/weatheradvisory/weather/:lat/:lng/advisory","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\weatherAdvisory.js","False"
"POST","/api/v1/backend-modules/M284","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M284\routes.js","False"
"POST","/api/v1/backend-modules/M074/bulk","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M074\routes.js","False"
"PUT","/api/v1/backend-modules/M259/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M259\routes.js","False"
"GET","/api/status/complete","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\integrationStatusRoutes.js","False"
"POST","/api/v1/robotics/missions/:id/complete","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\roboticsRoutes.js","False"
"POST","/api/order","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\orderRoutes.js","False"
"GET","/api/v1/mushroom/:id/spawn","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\mushroomRoutes.js","False"
"GET","/api/marketplaceenhancements/reviews/product/:productId","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\marketplaceEnhancements.js","False"
"GET","/api/v1/backend-modules/M342","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M342\routes.js","True"
"POST","/api/aiapproval/proposals/:id/decision","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\aiApprovalRoutes.js","False"
"GET","/api/v1/backend-modules/M005/environments","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M005\routes.js","False"
"GET","/api/v1/backend-modules/M008/logs/:id/verify","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M008\routes.js","False"
"POST","/api/v1/backend-modules/M099","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M099\routes.js","False"
"POST","/api/v1/backend-modules/M255","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M255\routes.js","False"
"GET","/api/order/health","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\orderRoutes.js","False"
"POST","/api/v1/backend-modules/M108","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M108\routes.js","False"
"GET","/api/v1/backend-modules/M007/users/:userId/roles","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M007\routes.js","False"
"GET","/api/v1/backend-modules/M188","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M188\routes.js","True"
"GET","/api/v1/research-development/innovations","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\researchAndDevelopmentDomainRoutes.js","False"
"POST","/api/v1/backend-modules/M245","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M245\routes.js","False"
"GET","/api/v1/engineering-project/project/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\engineeringProjectDomainRoutes.js","False"
"GET","/api/v1/backend-modules/M266/search","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M266\routes.js","False"
"POST","/api/blockchainverification","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\blockchainVerificationRoutes.js","False"
"DELETE","/api/v1/backend-modules/M287/:id","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\modules\M287\routes.js","False"
"POST","/api/v1/decision-support/floor-benchmark","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\decisionSupportDomainRoutes.js","False"
