"Method","RawPath","RouteFamily","SourceLine","SourceText"
"GET","/traceability-farming","/traceability-farming","2966","getTraceabilityFarming: () => api.get('/traceability-farming'),"
"GET","/ai/recovery/status","/ai/recovery/status","202","getRecoveryStatus: () => api.get('/ai/recovery/status'),"
"PUT","/ai/cluster/config","/ai/cluster/config","168","configureCluster: (data) => api.put('/ai/cluster/config', data),"
"GET","/trending-products","/trending-products","5653","getTrendingProducts: () => api.get('/trending-products'),"
"GET","/admin/settings","/admin/settings","52","getSettings: () => api.get('/admin/settings'),"
"GET","/reporting-resilience-farming","/reporting-resilience-farming","3156","getReportingResilienceFarming: () => api.get('/reporting-resilience-farming'),"
"POST","/individual-resilience-farming/build","/individual-resilience-farming/build","3347","buildIndividualResilience: (data) => api.post('/individual-resilience-farming/build', data),"
"POST","/audit-trail/search","/audit-trail/search","5764","searchAuditTrail: (query) => api.post('/audit-trail/search', { query }),"
"POST","/digital-campaign/run","/digital-campaign/run","5308","runDigitalCampaign: (data) => api.post('/digital-campaign/run', data),"
"GET","/ethics-resilience-farming","/ethics-resilience-farming","3181","getEthicsResilienceFarming: () => api.get('/ethics-resilience-farming'),"
"GET","/farm-operations-dashboard/kpis","/farm-operations-dashboard/kpis","6639","getKpis: (params) => api.get('/farm-operations-dashboard/kpis', { params }),"
"GET","/pest-resilience-farming","/pest-resilience-farming","3056","getPestResilienceFarming: () => api.get('/pest-resilience-farming'),"
"GET","/permitting-resilience-farming","/permitting-resilience-farming","3126","getPermittingResilienceFarming: () => api.get('/permitting-resilience-farming'),"
"GET","/pattern-recognition-farming","/pattern-recognition-farming","2931","getPatternRecognitionFarming: () => api.get('/pattern-recognition-farming'),"
"POST","/accountability-resilience-farming/build","/accountability-resilience-farming/build","3172","buildAccountabilityResilience: (data) => api.post('/accountability-resilience-farming/build', data),"
"GET","/nlp-farming","/nlp-farming","2916","getNLPFarming: () => api.get('/nlp-farming'),"
"POST","/supply-chain-decision","/supply-chain-decision","2244","getSupplyChainDecisions: () => api.get('/supply-chain-decision'),"
"POST","/farm-activity/activity","/farm-activity/activity","6591","createActivity: (data) => api.post('/farm-activity/activity', data),"
"POST","/comprehensive-erp/create-organizational-unit","/comprehensive-erp/create-organizational-unit","2029","createOrganizationalUnit: (data) => api.post('/comprehensive-erp/create-organizational-unit', data),"
"GET","/farmer-profile","/farmer-profile","3579","getFarmerProfile: () => api.get('/farmer-profile'),"
"POST","/breakdown-maintenance/record","/breakdown-maintenance/record","6508","getRecords: (params) => api.get('/breakdown-maintenance/records', { params }),"
"GET","/economy-resilience-farming","/economy-resilience-farming","3321","getEconomyResilienceFarming: () => api.get('/economy-resilience-farming'),"
"POST","/technology-resilience-farming/build","/technology-resilience-farming/build","3247","buildTechnologyResilience: (data) => api.post('/technology-resilience-farming/build', data),"
"GET","/comprehensive-erp/get-balance-sheet","/comprehensive-erp/get-balance-sheet","1994","getBalanceSheet: (params) => api.get('/comprehensive-erp/get-balance-sheet', { params }),"
"POST","/user-manager/manage","/user-manager/manage","5749","manageUser: (data) => api.post('/user-manager/manage', data),"
"GET","/predictive-analytics/demand-forecast","/predictive-analytics/demand-forecast","6713","getDemandForecast: (params) => api.get('/predictive-analytics/demand-forecast', { params }),"
"GET","/innovation-resilience-farming","/innovation-resilience-farming","3231","getInnovationResilienceFarming: () => api.get('/innovation-resilience-farming'),"
"POST","/pattern-recognition-farming/implement","/pattern-recognition-farming/implement","2932","implementPatternRecognitionFarming: (data) => api.post('/pattern-recognition-farming/implement', data),"
"GET","/image-recognition-farming","/image-recognition-farming","2926","getImageRecognitionFarming: () => api.get('/image-recognition-farming'),"
"POST","/advanced-ai/run","/advanced-ai/run","278","runAdvancedAI: (data) => api.post('/advanced-ai/run', data),"
"POST","/comprehensive-erp/create-profit-center","/comprehensive-erp/create-profit-center","1999","createProfitCenter: (data) => api.post('/comprehensive-erp/create-profit-center', data),"
"GET","/poultry-ai/predict-mortality-risk","/poultry-ai/predict-mortality-risk","6709","predictMortalityRisk: (params) => api.get('/poultry-ai/predict-mortality-risk', { params }),"
"POST","/industry-resilience-farming/build","/industry-resilience-farming/build","3317","buildIndustryResilience: (data) => api.post('/industry-resilience-farming/build', data),"
"GET","/rainwater-harvesting/design-system","/rainwater-harvesting/design-system","6912","designSystem: (params) => api.get('/rainwater-harvesting/design-system', { params }),"
"GET","/iot-farming","/iot-farming","2881","getIoTFarming: () => api.get('/iot-farming'),"
"GET","/farmers/market/demand-forecast","/farmers/market/demand-forecast","6011","getDemandForecast: (params) => api.get('/farmers/market/demand-forecast', { params }),"
"POST","/farm-task/task","/farm-task/task","6597","getTasks: (params) => api.get('/farm-task/tasks', { params }),"
"GET","/supply-chain-optimization","/supply-chain-optimization","2761","getSupplyChainOptimization: () => api.get('/supply-chain-optimization'),"
"POST","/comprehensive-erp/create-w-b-s","/comprehensive-erp/create-w-b-s","2034","createWBS: (data) => api.post('/comprehensive-erp/create-w-b-s', data),"
"GET","/report-generator","/report-generator","5803","getReports: () => api.get('/report-generator'),"
"GET","/farmers/pricing/categories","/farmers/pricing/categories","6004","getPriceCategories: () => api.get('/farmers/pricing/categories'),"
"GET","/enterprise-control","/enterprise-control","3526","getEnterpriseControl: () => api.get('/enterprise-control'),"
"GET","/bioflocc-farm/tanks","/bioflocc-farm/tanks","6044","getTanks: (params) => api.get('/bioflocc-farm/tanks', { params }),"
"GET","/diagnostic-analytics-farming","/diagnostic-analytics-farming","2956","getDiagnosticAnalyticsFarming: () => api.get('/diagnostic-analytics-farming'),"
"GET","/disclosure-resilience-farming","/disclosure-resilience-farming","3161","getDisclosureResilienceFarming: () => api.get('/disclosure-resilience-farming'),"
"POST","/pre-season/order","/pre-season/order","6719","createOrder: (data) => api.post('/pre-season/order', data),"
"GET","/authorization","/authorization","510","getAuthorizations: () => api.get('/authorization'),"
"GET","/smart-farming","/smart-farming","2851","getSmartFarming: () => api.get('/smart-farming'),"
"GET","/comprehensive-erp/get-cash-position","/comprehensive-erp/get-cash-position","2040","getCashPosition: (params) => api.get('/comprehensive-erp/get-cash-position', { params }),"
"GET","/ecommerce-erp","/ecommerce-erp","1861","getEcommerceERP: () => api.get('/ecommerce-erp'),"
"GET","/farmers/market/events","/farmers/market/events","6009","getMarketEvents: (params) => api.get('/farmers/market/events', { params }),"
"POST","/management-resilience-farming/build","/management-resilience-farming/build","3197","buildManagementResilience: (data) => api.post('/management-resilience-farming/build', data),"
"POST","/market-resilience-farming/build","/market-resilience-farming/build","3067","buildMarketResilience: (data) => api.post('/market-resilience-farming/build', data),"
"POST","/ai/voice/transcribe","/ai/voice/transcribe","90","transcribeAudio: (audio) => api.post('/ai/voice/transcribe', { audio }),"
"GET","/farmers/advisory/quick-questions","/farmers/advisory/quick-questions","6001","getQuickQuestions: (params) => api.get('/farmers/advisory/quick-questions', { params }),"
"PUT","/comprehensive-erp/configure","/comprehensive-erp/configure","1988","configureERP: (data) => api.put('/comprehensive-erp/configure', data),"
"POST","/rainwater-structures","/rainwater-structures","6947","list: (params) => api.get('/rainwater-structures', { params }),"
"GET","/ecommerce/ai/insights","/ecommerce/ai/insights","292","getEcommerceAIInsights: () => api.get('/ecommerce/ai/insights'),"
"GET","/erp","/erp","3543","getERPData: () => api.get('/erp'),"
"POST","/farmer-family/add","/farmer-family/add","1758","addFamilyMember: (data) => api.post('/farmer-family/add', data),"
"GET","/payment-gateway/refund-payment","/payment-gateway/refund-payment","6662","refundPayment: (params) => api.get('/payment-gateway/refund-payment', { params }),"
"GET","/nervous-system/brain-decision-history","/nervous-system/brain-decision-history","6549","getBrainDecisionHistory: (params) => api.get('/nervous-system/brain-decision-history', { params }),"
"GET","/robotic-farming","/robotic-farming","2866","getRoboticFarming: () => api.get('/robotic-farming'),"
"POST","/testing-resilience-farming/build","/testing-resilience-farming/build","3137","buildTestingResilience: (data) => api.post('/testing-resilience-farming/build', data),"
"GET","/reporting","/reporting","3156","getReportingResilienceFarming: () => api.get('/reporting-resilience-farming'),"
"GET","/payment-gateway/payment-status","/payment-gateway/payment-status","6663","getPaymentStatus: (params) => api.get('/payment-gateway/payment-status', { params }),"
"GET","/ai/providers","/ai/providers","212","getProviders: () => api.get('/ai/providers'),"
"POST","/supply-chains-resilience-farming/build","/supply-chains-resilience-farming/build","3277","buildSupplyChainsResilience: (data) => api.post('/supply-chains-resilience-farming/build', data),"
"GET","/products/categories","/products/categories","6103","getCategories: (params) => api.get('/products/categories', { params }),"
"GET","/analytics/reports","/analytics/reports","422","getReports: () => api.get('/analytics/reports'),"
"GET","/new-products","/new-products","5663","getNewProducts: () => api.get('/new-products'),"
"POST","/comprehensive-erp/create-material-master","/comprehensive-erp/create-material-master","2004","createMaterialMaster: (data) => api.post('/comprehensive-erp/create-material-master', data),"
"GET","/cold-fish-chain/shipments","/cold-fish-chain/shipments","6065","getShipments: (params) => api.get('/cold-fish-chain/shipments', { params }),"
"GET","/user-routes","/user-routes","2194","getUserRoutes: () => api.get('/user-routes'),"
"POST","/transparency-resilience-farming/build","/transparency-resilience-farming/build","3167","buildTransparencyResilience: (data) => api.post('/transparency-resilience-farming/build', data),"
"GET","/logistics-enhancement/live-tracking","/logistics-enhancement/live-tracking","6455","getLiveTracking: (params) => api.get('/logistics-enhancement/live-tracking', { params }),"
"POST","/blockchain-data/transactions","/blockchain-data/transactions","1637","createTransaction: (data) => api.post('/blockchain-data/transactions', data),"
"GET","/insurance-claims","/insurance-claims","3881","getInsuranceClaims: () => api.get('/insurance-claims'),"
"GET","/preventive-maintenance/records","/preventive-maintenance/records","6501","getRecords: (params) => api.get('/preventive-maintenance/records', { params }),"
"GET","/comprehensive-erp/optimize-production-a-i","/comprehensive-erp/optimize-production-a-i","2018","optimizeProductionAI: (params) => api.get('/comprehensive-erp/optimize-production-a-i', { params }),"
"POST","/water-analytics/prediction","/water-analytics/prediction","6928","generatePrediction: (data) => api.post('/water-analytics/prediction', data),"
"POST","/culture-resilience-farming/build","/culture-resilience-farming/build","3202","buildCultureResilience: (data) => api.post('/culture-resilience-farming/build', data),"
"GET","/family-resilience-farming","/family-resilience-farming","3341","getFamilyResilienceFarming: () => api.get('/family-resilience-farming'),"
"POST","/environmental-impact-farming/assess","/environmental-impact-farming/assess","2987","assessEnvironmentalImpact: (data) => api.post('/environmental-impact-farming/assess', data),"
"GET","/notification-manager","/notification-manager","5904","getNotifications: () => api.get('/notification-manager'),"
"GET","/enterprise-memory/knowledge-graph","/enterprise-memory/knowledge-graph","6039","getKnowledgeGraph: (params) => api.get('/enterprise-memory/knowledge-graph', { params }),"
"POST","/skills-resilience-farming/build","/skills-resilience-farming/build","3212","buildSkillsResilience: (data) => api.post('/skills-resilience-farming/build', data),"
"POST","/enterprise-control/control","/enterprise-control/control","3527","controlEnterprise: (data) => api.post('/enterprise-control/control', data),"
"PUT","/unified-ai-gateway","/unified-ai-gateway","2204","getUnifiedAIGateway: () => api.get('/unified-ai-gateway'),"
"GET","/supply-chain-analytics","/supply-chain-analytics","2239","getSupplyChainAnalytics: () => api.get('/supply-chain-analytics'),"
"GET","/infrastructure-resilience-farming","/infrastructure-resilience-farming","3251","getInfrastructureResilienceFarming: () => api.get('/infrastructure-resilience-farming'),"
"POST","/comprehensive-erp/create-chart-of-accounts","/comprehensive-erp/create-chart-of-accounts","1990","createChartOfAccounts: (data) => api.post('/comprehensive-erp/create-chart-of-accounts', data),"
"GET","/breakdown-maintenance/records","/breakdown-maintenance/records","6508","getRecords: (params) => api.get('/breakdown-maintenance/records', { params }),"
"POST","/micro-farms/manage","/micro-farms/manage","3616","manageMicroFarm: (data) => api.post('/micro-farms/manage', data),"
"GET","/farmers/pricing/seasonality","/farmers/pricing/seasonality","6013","getPriceSeasonality: (params) => api.get('/farmers/pricing/seasonality', { params }),"
"GET","/advanced-ai","/advanced-ai","277","getAdvancedAICapabilities: () => api.get('/advanced-ai'),"
"GET","/yield/booking-curve","/yield/booking-curve","6971","bookingCurve: (params) => api.get('/yield/booking-curve', { params }),"
"GET","/logistics-enhancement/record-temperature","/logistics-enhancement/record-temperature","6457","recordTemperature: (params) => api.get('/logistics-enhancement/record-temperature', { params }),"
"GET","/logistics-enhancement/warehouse-inventory","/logistics-enhancement/warehouse-inventory","6463","getWarehouseInventory: (params) => api.get('/logistics-enhancement/warehouse-inventory', { params }),"
"POST","/notification-manager/send","/notification-manager/send","5905","sendNotification: (data) => api.post('/notification-manager/send', data),"
"GET","/payments","/payments","4105","getPayments: () => api.get('/payments'),"
"POST","/ml-farming/implement","/ml-farming/implement","2902","implementMLFarming: (data) => api.post('/ml-farming/implement', data),"
"POST","/enterprise-memory/cases","/enterprise-memory/cases","6035","getCases: (params) => api.get('/enterprise-memory/cases', { params }),"
"GET","/pre-season-order","/pre-season-order","2456","getPreSeasonOrders: () => api.get('/pre-season-order'),"
"POST","/climate-monitoring/report","/climate-monitoring/report","5970","generateReport: (data) => api.post('/climate-monitoring/report', data),"
"POST","/ai/insights","/ai/insights","138","getInsights: (data) => api.post('/ai/insights', data),"
"GET","/user-manager","/user-manager","5748","getUsers: () => api.get('/user-manager'),"
"POST","/production/manage","/production/manage","4181","manageProduction: (data) => api.post('/production/manage', data),"
"POST","/family-resilience-farming/build","/family-resilience-farming/build","3342","buildFamilyResilience: (data) => api.post('/family-resilience-farming/build', data),"
"POST","/product-reviews","/product-reviews","5528","getReviews: () => api.get('/product-reviews'),"
"GET","/sheep-ai/optimize-wool-production","/sheep-ai/optimize-wool-production","6816","optimizeWoolProduction: (params) => api.get('/sheep-ai/optimize-wool-production', { params }),"
"GET","/nervous-system/register-enterprise-route","/nervous-system/register-enterprise-route","6565","registerEnterpriseRoute: (params) => api.get('/nervous-system/register-enterprise-route', { params }),"
"GET","/people-resilience-farming","/people-resilience-farming","3206","getPeopleResilienceFarming: () => api.get('/people-resilience-farming'),"
"POST","/customers-resilience-farming/build","/customers-resilience-farming/build","3297","buildCustomersResilience: (data) => api.post('/customers-resilience-farming/build', data),"
"GET","/computer-vision-farming","/computer-vision-farming","2911","getComputerVisionFarming: () => api.get('/computer-vision-farming'),"
"POST","/logistics-optimization/optimize","/logistics-optimization/optimize","2552","optimizeLogistics: (data) => api.post('/logistics-optimization/optimize', data),"
"GET","/processes-resilience-farming","/processes-resilience-farming","3261","getProcessesResilienceFarming: () => api.get('/processes-resilience-farming'),"
"POST","/products/manage","/products/manage","4186","manageProduct: (data) => api.post('/products/manage', data),"
"GET","/farm-analytics","/farm-analytics","1762","getFarmAnalytics: () => api.get('/farm-analytics'),"
"GET","/micro-farms","/micro-farms","3615","getMicroFarms: () => api.get('/micro-farms'),"
"GET","/technology-resilience-farming","/technology-resilience-farming","3246","getTechnologyResilienceFarming: () => api.get('/technology-resilience-farming'),"
"GET","/pig-ai/recommend-pig-breeding","/pig-ai/recommend-pig-breeding","6685","recommendPigBreeding: (params) => api.get('/pig-ai/recommend-pig-breeding', { params }),"
"GET","/integrated-farming","/integrated-farming","2596","getIntegratedFarming: () => api.get('/integrated-farming'),"
"POST","/biodiversity-farming/assess","/biodiversity-farming/assess","3002","assessBiodiversity: (data) => api.post('/biodiversity-farming/assess', data),"
"GET","/nervous-system/process-event-through-brain","/nervous-system/process-event-through-brain","6548","processEventThroughBrain: (params) => api.get('/nervous-system/process-event-through-brain', { params }),"
"POST","/ai/decisions/make","/ai/decisions/make","193","makeDecision: (data) => api.post('/ai/decisions/make', data),"
"GET","/farm-productivity/metrics","/farm-productivity/metrics","6632","getMetrics: (params) => api.get('/farm-productivity/metrics', { params }),"
"POST","/partners-resilience-farming/build","/partners-resilience-farming/build","3302","buildPartnersResilience: (data) => api.post('/partners-resilience-farming/build', data),"
"GET","/insurance/ai/insights","/insurance/ai/insights","373","getInsuranceAIInsights: () => api.get('/insurance/ai/insights'),"
"POST","/admin/users","/admin/users","57","getUsers: () => api.get('/admin/users'),"
"GET","/validation-resilience-farming","/validation-resilience-farming","3141","getValidationResilienceFarming: () => api.get('/validation-resilience-farming'),"
"GET","/enterprise-memory/cases","/enterprise-memory/cases","6035","getCases: (params) => api.get('/enterprise-memory/cases', { params }),"
"GET","/water-conservation-farming","/water-conservation-farming","3016","getWaterConservationFarming: () => api.get('/water-conservation-farming'),"
"GET","/maintenance/schedules","/maintenance/schedules","744","getSchedules: () => api.get('/maintenance/schedules'),"
"POST","/farmer-skills","/farmer-skills","3590","getFarmerSkills: () => api.get('/farmer-skills'),"
"GET","/transparency-resilience-farming","/transparency-resilience-farming","3166","getTransparencyResilienceFarming: () => api.get('/transparency-resilience-farming'),"
"POST","/competitors-resilience-farming/build","/competitors-resilience-farming/build","3312","buildCompetitorsResilience: (data) => api.post('/competitors-resilience-farming/build', data),"
"POST","/farm-analytics/analyze","/farm-analytics/analyze","1763","analyzeFarm: (data) => api.post('/farm-analytics/analyze', data),"
"POST","/image-recognition-farming/implement","/image-recognition-farming/implement","2927","implementImageRecognitionFarming: (data) => api.post('/image-recognition-farming/implement', data),"
"GET","/dairy-ai","/dairy-ai","3510","getDairyAI: () => api.get('/dairy-ai'),"
"GET","/food-grains","/food-grains","3686","getFoodGrains: () => api.get('/food-grains'),"
