"PhysicalPath","FileName","Extension","SizeBytes","SHA256","PhysicalItemID","IdentitySource","Confidence","AuthorityOriginalPath","AuthorityCurrentLocation","AuthorityOriginalFileName","LogicalIdentity","ImplementationIdentity","VariantIdentity","LibraryPathMatch","LibraryHashMatch","SubhEvidenceMatch","Status","Reason","TriageBucket","TriageReason"
"frontend\public\sitemap.xml","sitemap.xml",".xml","2777","AA98A5DAAC14BBE71271C40A85F23510B04DCC73274982F41BBDD1365379E1BF","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"tools\route-audit.js","route-audit.js",".js","4555","CCB69E99E97122B55CAC39E9B2F6864CA4D06FF4EB3E71DA78308E86AD44B601","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\AI_FORENSIC_REPAIR\aiService.js.20260815_154338.bak","aiService.js.20260815_154338.bak",".bak","22876","1DE169D976CE9991ED5BE7692F0E47A29423C51B7BD39FE384C1A4EF02F3320C","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\advancedServiceGenerator.js.4ddb7a9ffc1644a99ac107c85237a934.bak","advancedServiceGenerator.js.4ddb7a9ffc1644a99ac107c85237a934.bak",".bak","19032","1B32A19E40D3C38BAB723D3CEBDC07FE9061F709C6288C54C15295BE0D7E4456","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\advancedServiceGenerator.js.ad3553caef4e4b969a9e60efb99bff24.bak","advancedServiceGenerator.js.ad3553caef4e4b969a9e60efb99bff24.bak",".bak","18989","A1A131C89C2D8B7F366A2163F6410A467C725D024D7616B763793FA1B2F5FD7A","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\aiService.encoding.bak","aiService.encoding.bak",".bak","22876","1DE169D976CE9991ED5BE7692F0E47A29423C51B7BD39FE384C1A4EF02F3320C","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\backupService.test.js.d6e1f0e9ea9b4fde8e31d892d2d1067a.bak","backupService.test.js.d6e1f0e9ea9b4fde8e31d892d2d1067a.bak",".bak","2396","EE4FC75700B76E1108DFA2A7839B354E842EC27F491F4CEC3E08E2468CDDC943","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0249342e09dc431c8bdc4ae6d1232f53.bak","index.js.0249342e09dc431c8bdc4ae6d1232f53.bak",".bak","47794","77951F61BC5D3AE6D777BDE9CD3BDEB1C1283680F6D17B2645950153E2081C65","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0298ec4713254a75be2664e1245d66b6.bak","index.js.0298ec4713254a75be2664e1245d66b6.bak",".bak","48202","48615CD3BD9116545798A41A63B59E8373AA60238703FB5FE179F5B1856D97D2","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.029c4a68e6ab47ad8c66ab7e58d846dd.bak","index.js.029c4a68e6ab47ad8c66ab7e58d846dd.bak",".bak","48233","442849CAA41B7E11BF47DFBBA39D84025C0D005EBDA91E63D73003AA3D83D601","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.03b03298b50a4b368f2e9e6115eb9c34.bak","index.js.03b03298b50a4b368f2e9e6115eb9c34.bak",".bak","45691","FE992C96C01706E7F6FEB298BBF65D2B4AE8EE7EAC7DB80763D1F7B2AB22B239","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.04c0d9d2fc4648b495088ba2d23603a6.bak","index.js.04c0d9d2fc4648b495088ba2d23603a6.bak",".bak","47706","481F18EE050334A92677D17F2021193623DEE7260B674775524CE723D37DB905","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.064152bf4e98406998dc220e3249733f.bak","index.js.064152bf4e98406998dc220e3249733f.bak",".bak","47177","13BDAE29A594B6AE5A65C5654A6BFF0A9A68E4CEED184C73789F0A13F9EC40DA","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.079e4bb3e04f4536b183fe18035a9faf.bak","index.js.079e4bb3e04f4536b183fe18035a9faf.bak",".bak","47243","B83B422E479EF0649DE099D067E9F6B00EB2DD90A4C82515488A6506555D0A5C","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0883c81a4c6b4974907c79635444d7cb.bak","index.js.0883c81a4c6b4974907c79635444d7cb.bak",".bak","45428","F12A16562AA07F45D43C5C463740CCCD4E0A4F45D3E2FA53DB32719535E69719","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.08c5c956fd89489690abed9db676f40b.bak","index.js.08c5c956fd89489690abed9db676f40b.bak",".bak","47476","9F1E02EFF956DA4847478329E5BCA0D96D3944099E431B4D4AF419867EA57B93","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.08e75a119fab431aba63062cb05736bf.bak","index.js.08e75a119fab431aba63062cb05736bf.bak",".bak","46830","C5DF15D6573CAD2B364C4313279F62B9E8804EA6375D514FD5C0FC201B32BA67","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0912071710964b6aac21be4bf81c2210.bak","index.js.0912071710964b6aac21be4bf81c2210.bak",".bak","48017","05016D68E877847319554C5AF154535440F9EC5A3994F3B64598700D7F97B500","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0945ee8b07fa43179fc4df44326b0fff.bak","index.js.0945ee8b07fa43179fc4df44326b0fff.bak",".bak","47301","FD06F19C0C61DB14DF82A9173EC8AAE484D70B8FE2B06C3EFDE278A01F88615C","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0afc3397d31e4ee4b34944fa159012b8.bak","index.js.0afc3397d31e4ee4b34944fa159012b8.bak",".bak","45819","97E93CFE60FC0EFEFEA1B6C87AE8FD2482F7158795A48D8C536A8C087208AA7C","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0d1967bd21a54558a68350952a34378e.bak","index.js.0d1967bd21a54558a68350952a34378e.bak",".bak","46783","81A8ACB50E94382222CA018AC892985056F4C897D5DA9D4D482CFF5837281B05","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0d43e69ccfa445af92bf7cc9b4f65c31.bak","index.js.0d43e69ccfa445af92bf7cc9b4f65c31.bak",".bak","47612","89B257F158DA04C1BA07BCDDF18A2BC9198C7EF787BF32EB1B24731B696B357E","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0d9a3a4763fe43688c93a9152de3c57c.bak","index.js.0d9a3a4763fe43688c93a9152de3c57c.bak",".bak","47150","E3B290A52EAD5642645BB6F5A0E2DE055B6F4937DF5B84EDAC8A1BADE8E04CC0","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0da031a8beed477a8fa69702a58a02a1.bak","index.js.0da031a8beed477a8fa69702a58a02a1.bak",".bak","46326","6B49548F2B75E0BA073D8B266A6C22D24817ED7B74CD0D691E1B7C8C4CE4A9E9","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0deee582687d4be6b7e88ed4d28dea3a.bak","index.js.0deee582687d4be6b7e88ed4d28dea3a.bak",".bak","45935","1CCBE99FFD9DD8965101D8476EB149EB185719C95017D8819171959178C53930","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0e85792546514fbd91657b7ec14d16f3.bak","index.js.0e85792546514fbd91657b7ec14d16f3.bak",".bak","46243","48948D55874F5801C794C05B1CF7FBE682ADB24AD463710135F5699C508D1C03","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0f58f56d9dd74dbab215055af9b31e03.bak","index.js.0f58f56d9dd74dbab215055af9b31e03.bak",".bak","46654","077D78944A880F0E726E5F506689C58F33544750BD16E2F5E6B5F6F6E8B8470E","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.0fa461fc23bb4beb8039315ea73e96b2.bak","index.js.0fa461fc23bb4beb8039315ea73e96b2.bak",".bak","47452","47A8E98E9D4AD328328F9CE92293C9C81C38CB2F7614C31596B4571FD74042F2","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.115e1238f1f347d3829f10392676a199.bak","index.js.115e1238f1f347d3829f10392676a199.bak",".bak","46357","6EC9F6BFD4381911890F14F28A70A7FA08A0F576E26A5C1A774761998D9E5600","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.128b437036494f7cbbdb5d42dd1c7bee.bak","index.js.128b437036494f7cbbdb5d42dd1c7bee.bak",".bak","46484","8BF59053C2EA98D2F92DCA921486AF2471C38ADD1952E9089D064A39B50C1D17","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.12d15204b3fa4e7eb14eb5d8ac668744.bak","index.js.12d15204b3fa4e7eb14eb5d8ac668744.bak",".bak","45937","D33484E6B75FD548F8FF8DA1CC179D457EDBDCCC8806C3CDBB4248BE694F4CA5","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.1352481451e7470d9a69005727f7e2e7.bak","index.js.1352481451e7470d9a69005727f7e2e7.bak",".bak","45799","2E55986D1D4595FA49B00B9EDA8E3D77D33926EE8FCE78785ECD51BAECE8A331","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.157b6cdbe7d1458b927c599e522c5070.bak","index.js.157b6cdbe7d1458b927c599e522c5070.bak",".bak","45996","DA6D605A47571445B089C6AE5A6B210FEDDAD4DBBD7819D98484CB15D30AF92F","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
"_JUNK_QUARANTINE\DEEP_FORENSIC_REPAIR\20260815_154721\BACKUP\index.js.15e058edaf034e6eb1993d080ea507b7.bak","index.js.15e058edaf034e6eb1993d080ea507b7.bak",".bak","46936","D3D3D332A7DE4297BBFE78A394345F927FF8340978F490B0EE49B5732728513C","","","0","","","","","","","False","False","False","UNKNOWN","No authoritative path/SHA256 identity or library duplicate established.","NEW_UNREGISTERED_SAFE_TO_CREATE_IDENTITY","No Authority path or hash match, but global CONFLICT and DUPLICATE counts for this run were both 0 — nothing in the library contradicts this file. Eligible for a fresh PhysicalItemID using the project's existing ID-minting sequence (do not invent a new ID scheme)."
