"Module","Files","Routes","Services","UI","AI","DB"
"M104","7","1","1","0","0","1"
"M104_SOIL_MANAGEMENT","4","0","1","2","0","0"
"M105","7","1","1","0","0","1"
"M105_WEATHER_INTELLIGENCE","5","0","1","2","0","0"
"M106","6","1","1","0","0","0"
"M107","7","1","1","0","0","1"
"M108","7","1","1","0","0","1"
"M108_FERTILIZER_MANAGEMENT","5","0","1","2","0","0"
"M108100_BULKORDER","2","0","1","0","0","0"
"M109","7","1","1","0","0","1"
"M109_SEED_MANAGEMENT","4","0","1","2","0","0"
"M110","7","1","1","0","0","1"
"M111","6","1","1","0","0","0"
"M112","7","1","1","0","0","1"
"M113","7","1","1","0","0","1"
"M114","6","1","1","0","0","0"
"M115","6","1","1","0","0","0"
"M116","7","1","1","0","0","1"
"M117","6","1","1","0","0","0"
"M117100_REVENUE","2","0","1","0","0","0"
"M118","6","1","1","0","0","0"
"M119","6","1","1","0","0","0"
"M120","6","1","1","0","0","0"
"M120100_VERMICOMPOST","2","0","1","0","0","0"
"M121","7","1","1","0","0","1"
"M122","7","1","1","0","0","1"
"M123","7","1","1","0","0","1"
"M124","7","1","1","0","0","1"
"M125","7","1","1","0","0","1"
"M126","7","1","1","0","0","1"
"M127","7","1","1","0","0","1"
"M128","7","1","1","0","0","1"
"M129","7","1","1","0","0","1"
"M129100_GREENHOUSE","2","0","1","0","0","0"
"M130","7","1","1","0","0","1"
"M131","7","1","1","0","0","1"
"M132","8","1","1","0","0","1"
"M132100_FREIGHTPOOLING","2","0","1","0","0","0"
"M133","7","1","1","0","0","1"
"M134","7","1","1","0","0","1"
"M135","7","1","1","0","0","1"
"M136","7","1","1","0","0","1"
"M137","6","1","1","0","0","0"
"M138","7","1","1","0","0","1"
"M139","6","1","1","0","0","0"
"M140","7","1","1","0","0","1"
"M141","8","1","1","0","0","1"
"M142","7","1","1","0","0","1"
"M143","7","1","1","0","0","1"
"M144","7","1","1","0","0","0"
"M144100_MODULECATALOG","2","0","1","0","0","0"
"M145","7","1","1","0","0","1"
"M146","7","1","1","0","0","1"
"M147","7","1","1","0","0","1"
"M148","6","1","1","0","0","0"
"M149","6","1","1","0","0","0"
"M149100_MUSHROOM","2","0","1","0","0","0"
"M150","7","1","1","0","0","1"
"M150100_COMPLETEAIINTEGRATION","2","0","1","0","0","0"
"M151","7","1","1","0","0","0"
"M152","5","1","1","0","0","0"
"M152100_PLATFORMCONFIGURATION","2","0","1","0","0","0"
"M153","5","1","1","0","0","0"
"M154","5","1","1","0","0","0"
"M155","5","1","1","0","0","0"
"M156","5","1","1","0","0","0"
"M157","5","1","1","0","0","0"
"M158","5","1","1","0","0","0"
"M159","5","1","1","0","0","0"
"M160","5","1","1","0","0","0"
"M161","5","1","1","0","0","0"
"M162","5","1","1","0","0","0"
"M163","5","1","1","0","0","0"
"M164","5","1","1","0","0","0"
"M165","5","1","1","0","0","0"
"M166","5","1","1","0","0","0"
"M167","5","1","1","0","0","0"
"M167100_FOODINTELLIGENCE","2","0","1","0","0","0"
"M168","5","1","1","0","0","0"
"M169","5","1","1","0","0","0"
"M170","5","1","1","0","0","0"
"M171","5","1","1","0","0","0"
"M172","5","1","1","0","0","0"
"M173","5","1","1","0","0","0"
"M174","5","1","1","0","0","0"
"M175","5","1","1","0","0","0"
"M176","5","1","1","0","0","0"
"M177","5","1","1","0","0","0"
"M178","5","1","1","0","0","0"
"M179","5","1","1","0","0","0"
"M180","5","1","1","0","0","0"
"M181","5","1","1","0","0","0"
"M18100_INSURANCECLAIMS","2","0","1","0","0","0"
"M18100_POULTRY","5","0","1","2","0","0"
"M181100_CUSTODYEVENTROUTES","2","0","1","0","0","0"
"M182","5","1","1","0","0","0"
"M183","5","1","1","0","0","0"
"M184","5","1","1","0","0","0"
"M185","5","1","1","0","0","0"
"M186","5","1","1","0","0","0"
"M186100_IOTSENSOR","2","0","1","0","0","0"
"M186100_REGIONALVARIETY","2","0","1","0","0","0"
"M187","5","1","1","0","0","0"
"M188","5","1","1","0","0","0"
"M188100_DYNAMICPRICING","2","0","1","0","0","0"
"M189","5","1","1","0","0","0"
"M190","5","1","1","0","0","0"
"M190100_GIINTELLIGENCE","2","0","1","0","0","0"
"M191","5","1","1","0","0","0"
"M192","5","1","1","0","0","0"
"M192100_LANDRECORDS","2","0","1","0","0","0"
"M193","5","1","1","0","0","0"
"M194","5","1","1","0","0","0"
"M195","5","1","1","0","0","0"
"M196","5","1","1","0","0","0"
"M197","5","1","1","0","0","0"
"M198","5","1","1","0","0","0"
"M199","5","1","1","0","0","0"
"M200","5","1","1","0","0","0"
"M200_ORGANIZATION_MANAGEMENT","4","0","1","2","0","0"
"M201","7","1","1","0","0","0"
"M201100_SERICULTURE","2","0","1","0","0","0"
"M202","5","1","1","0","0","0"
"M203","5","1","1","0","0","0"
"M204","5","1","1","0","0","0"
"M205","5","1","1","0","0","0"
"M205_COMPLIANCE_MANAGEMENT","2","0","1","0","0","0"
"M205100_RFQ","2","0","1","0","0","0"
"M206","5","1","1","0","0","0"
"M206_AUDIT_MANAGEMENT","2","0","1","0","0","0"
"M207","5","1","1","0","0","0"
"M208","5","1","1","0","0","0"
"M208_GOVERNANCE","2","0","1","0","0","0"
"M209","5","1","1","0","0","0"
"M209100_ROLEMANAGEMENT","2","0","1","0","0","0"
"M210","5","1","1","0","0","0"
"M211","5","1","1","0","0","0"
"M212","5","1","1","0","0","0"
"M213","5","1","1","0","0","0"
"M214","5","1","1","0","0","0"
"M215","5","1","1","0","0","0"
"M216","5","1","1","0","0","0"
"M217","5","1","1","0","0","0"
"M218","5","1","1","0","0","0"
"M219","5","1","1","0","0","0"
"M220","5","1","1","0","0","0"
"M220100_ECOMMERCEMARKETING","2","0","1","0","0","0"
"M221","5","1","1","0","0","0"
"M222","5","1","1","0","0","0"
"M223","5","1","1","0","0","0"
"M224","5","1","1","0","0","0"
"M225","5","1","1","0","0","0"
"M226","5","1","1","0","0","0"
"M227","5","1","1","0","0","0"
"M228","5","1","1","0","0","0"
"M229","5","1","1","0","0","0"
"M230","5","1","1","0","0","0"
"M231","5","1","1","0","0","0"
"M232","5","1","1","0","0","0"
"M233","5","1","1","0","0","0"
"M234","5","1","1","0","0","0"
"M235","5","1","1","0","0","0"
"M235100_FOODSAFETY","2","0","1","0","0","0"
"M236","5","1","1","0","0","0"
"M237","5","1","1","0","0","0"
"M238","5","1","1","0","0","0"
"M239","5","1","1","0","0","0"
"M240","5","1","1","0","0","0"
"M241","5","1","1","0","0","0"
"M242","5","1","1","0","0","0"
"M243","5","1","1","0","0","0"
"M244","5","1","1","0","0","0"
"M244100_ORGANICTRACEABILITY","2","0","1","0","0","0"
"M245","5","1","1","0","0","0"
"M246","5","1","1","0","0","0"
"M247","5","1","1","0","0","0"
"M248","5","1","1","0","0","0"
"M249","5","1","1","0","0","0"
"M250","5","1","1","0","0","0"
"M251","5","1","1","0","0","0"
"M25100_OFFLINESYNC","2","0","1","0","0","0"
"M251100_ECOMMERCEERP","2","0","1","0","0","0"
"M252","5","1","1","0","0","0"
"M253","5","1","1","0","0","0"
"M254","5","1","1","0","0","0"
"M254100_DIGITALTWIN","2","0","1","0","0","0"
"M255","5","1","1","0","0","0"
"M256","5","1","1","0","0","0"
"M257","5","1","1","0","0","0"
"M258","5","1","1","0","0","0"
"M259","5","1","1","0","0","0"
"M260","5","1","1","0","0","0"
"M261","5","1","1","0","0","0"
"M262","5","1","1","0","0","0"
"M263","5","1","1","0","0","0"
"M263100_CLIMATEMONITORING","2","0","1","0","0","0"
"M264","5","1","1","0","0","0"
"M265","5","1","1","0","0","0"
"M265100_ENTERPRISEMEMORY","2","0","1","0","0","0"
"M266","5","1","1","0","0","0"
"M267","5","1","1","0","0","0"
"M268","5","1","1","0","0","0"
"M269","5","1","1","0","0","0"
"M270","5","1","1","0","0","0"
"M271","5","1","1","0","0","0"
"M272","5","1","1","0","0","0"
"M273","5","1","1","0","0","0"
"M274","5","1","1","0","0","0"
"M275","5","1","1","0","0","0"
"M276","5","1","1","0","0","0"
"M277","5","1","1","0","0","0"
"M278","5","1","1","0","0","0"
"M279","5","1","1","0","0","0"
"M280","5","1","1","0","0","0"
"M281","5","1","1","0","0","0"
"M282","5","1","1","0","0","0"
"M282100_LABORATORYERP","2","0","1","0","0","0"
"M283","5","1","1","0","0","0"
"M284","5","1","1","0","0","0"
"M285","5","1","1","0","0","0"
"M285100_NUTRIENTVALUESALES","2","0","1","0","0","0"
"M286","5","1","1","0","0","0"
"M287","5","1","1","0","0","0"
"M288","5","1","1","0","0","0"
"M289","5","1","1","0","0","0"
"M290","5","1","1","0","0","0"
"M290100_MACHINERYACCESS","4","0","1","2","0","0"
"M291","5","1","1","0","0","0"
"M292","5","1","1","0","0","0"
"M292100_INSURANCEPREMIUM","2","0","1","0","0","0"
"M293","5","1","1","0","0","0"
"M294","5","1","1","0","0","0"
"M295","5","1","1","0","0","0"
"M296","5","1","1","0","0","0"
"M297","5","1","1","0","0","0"
"M298","5","1","1","0","0","0"
"M299","5","1","1","0","0","0"
"M300","5","1","1","0","0","0"
"M300_ERP_CORE","4","0","1","2","0","0"
"M301","7","1","1","0","0","0"
"M301_FINANCIAL_MANAGEMENT","2","0","1","0","0","0"
"M30100_CROPPLANNING","2","0","1","0","0","0"
"M302","5","1","1","0","0","0"
"M303","5","1","1","0","0","0"
"M304","5","1","1","0","0","0"
"M305","5","1","1","0","0","0"
"M306","5","1","1","0","0","0"
"M306_HUMAN_RESOURCES","2","0","1","0","0","0"
"M307","5","1","1","0","0","0"
"M308","5","1","1","0","0","0"
"M308_ASSET_MANAGEMENT","4","0","1","2","0","0"
"M309","5","1","1","0","0","0"
"M309_COST_MANAGEMENT","3","0","1","0","0","0"
"M310","5","1","1","0","0","0"
"M3100_OFFLINEPAYMENT","2","0","1","0","0","0"
"M311","5","1","1","0","0","0"
"M312","5","1","1","0","0","0"
"M313","5","1","1","0","0","0"
"M314","5","1","1","0","0","0"
"M315","5","1","1","0","0","0"
"M316","5","1","1","0","0","0"
"M317","5","1","1","0","0","0"
"M317100_AISELFHEALING","2","0","1","0","0","0"
"M318","5","1","1","0","0","0"
"M319","5","1","1","0","0","0"
"M320","5","1","1","0","0","0"
"M321","5","1","1","0","0","0"
"M322","5","1","1","0","0","0"
"M323","5","1","1","0","0","0"
"M324","5","1","1","0","0","0"
"M325","5","1","1","0","0","0"
"M326","5","1","1","0","0","0"
"M327","5","1","1","0","0","0"
"M328","5","1","1","0","0","0"
"M329","5","1","1","0","0","0"
"M330","5","1","1","0","0","0"
"M331","5","1","1","0","0","0"
"M331100_FARMERTRAINING","2","0","1","0","0","0"
"M332","5","1","1","0","0","0"
"M333","5","1","1","0","0","0"
"M333100_RURALFINANCE","2","0","1","0","0","0"
"M334","5","1","1","0","0","0"
"M335","5","1","1","0","0","0"
"M336","5","1","1","0","0","0"
"M337","5","1","1","0","0","0"
"M338","5","1","1","0","0","0"
"M339","5","1","1","0","0","0"
"M340","5","1","1","0","0","0"
"M341","5","1","1","0","0","0"
"M342","5","1","1","0","0","0"
"M343","5","1","1","0","0","0"
"M344","5","1","1","0","0","0"
"M345100_SELLERRANKING","2","0","1","0","0","0"
"M353100_CUSTODYEVENT","2","0","1","0","0","0"
"M356100_BACKUP","2","0","1","0","0","0"
"M356100_ECOMMERCEBUSINESSSALES","2","0","1","0","0","0"
"M359100_INSURANCE","4","0","1","2","0","0"
"M37100_HOUSEHOLDECONOMY","2","0","1","0","0","0"
"M374100_MARKETDATA","2","0","1","0","0","0"
"M377100_PRODUCT","2","0","1","0","0","0"
"M379100_COLDSTORAGE","2","0","1","0","0","0"
"M386100_NUTRITIONINTELLIGENCE","2","0","1","0","0","0"
"M386100_SUBSIDY","4","0","1","2","0","0"
"M388100_BLOCKCHAINTRACEABILITY","2","0","1","0","0","0"
"M388100_SAPMODULEARCHITECTURE","2","0","1","0","0","0"
"M39100_RENEWABLEENERGY","3","0","1","0","0","0"
"M400_AI_BACKBONE","2","0","1","0","0","0"
"M400_AI_CORE","4","0","1","2","0","0"
"M401_AI_GATEWAY","5","0","1","2","0","0"
"M402_AI_ORCHESTRATION","2","0","1","0","0","0"
"M403_AGRICULTURAL_AI","4","0","1","2","0","0"
"M404_DECISION_SUPPORT","3","0","1","0","0","0"
"M405_PREDICTIVE_ANALYTICS","2","0","1","0","0","0"
"M406100_ECOMMERCEINTEGRATION","2","0","1","0","0","0"
"M407_CONVERSATIONAL_AI","4","0","1","2","0","0"
"M407100_RECOVEREDFINANCE","2","0","1","0","0","0"
"M408_KNOWLEDGE_MANAGEMENT","5","0","1","2","0","0"
"M409100_ADVANCEDAI","2","0","1","0","0","0"
"M410_AI_INTELLIGENCE_FABRIC","2","0","1","0","0","0"
"M412100_COMMERCERULES","2","0","1","0","0","0"
"M414100_RETURNLOADBOARD","2","0","1","0","0","0"
"M415100_SMSAUTH","2","0","1","0","0","0"
"M419100_ORDER","2","0","1","0","0","0"
"M43100_APICULTURE","2","0","1","0","0","0"
"M444100_CROPVALUERESEARCH","2","0","1","0","0","0"
"M445100_VILLAGEPROFILE","4","0","1","2","0","0"
"M451100_SHELFLIFE","2","0","1","0","0","0"
"M454100_ADVANCEDFEATURES","2","0","1","0","0","0"
"M455100_AICOPILOT","2","0","1","0","2","0"
"M456100_FORM","2","0","1","0","0","0"
"M469100_DEFENSEFITNESSPREP","2","0","1","0","0","0"
"M472100_AIADVISORY","2","0","1","0","0","0"
"M474100_VALUECOMMERCE","2","0","1","0","0","0"
"M477100_SOILTESTING","2","0","1","0","0","0"
"M477100_VOICEAI","2","0","1","0","0","0"
"M48100_BUYINGCLUB","2","0","1","0","0","0"
"M49100_WEARABLEINTEGRATION","2","0","1","0","0","0"
"M499100_SHEEP","5","0","1","2","0","0"
"M501100_IDENTITYMANAGEMENT","4","0","1","2","0","0"
"M510100_OCR","2","0","1","0","0","0"
"M51100_MARKETACCESS","2","0","1","0","0","0"
"M513100_COMPREHENSIVEERP","2","0","1","0","0","0"
"M522100_PLATFORMTELEMETRY","2","0","1","0","0","0"
"M528100_CIVILDISRUPTION","2","0","1","0","0","0"
"M530100_PROCUREMENTSUBSCRIPTION","2","0","1","0","0","0"
"M538100_RESOURCECRUDFACTORY","2","0","1","0","0","0"
"M543100_RISKPRICING","2","0","1","0","0","0"
"M557100_NEPRODUCTINTELLIGENCE","2","0","1","0","0","0"
"M559100_KNOWLEDGEGRAPH","2","0","1","0","0","0"
"M560100_GEOFENCING","2","0","1","0","0","0"
"M569100_COOPERATIVESHARE","2","0","1","0","0","0"
"M570100_COMPANY","2","0","1","0","0","0"
"M570100_PRESEASONORDER","2","0","1","0","0","0"
"M573100_COMPLETEERPINTEGRATION","2","0","1","0","0","0"
"M576100_ANALYTICSMONITORING","2","0","1","0","0","0"
"M590100_BIODIVERSITY","2","0","1","0","0","0"
"M602100_COMMUNITYMANAGEMENT","4","0","1","2","0","0"
"M604100_INPUTSUPPLYMANAGEMENT","2","0","1","0","0","0"
"M606100_REALTIMEMONITORING","2","0","1","0","0","0"
"M61100_VISION","2","0","1","0","0","0"
"M615100_LOGISTICS","4","0","1","2","0","0"
"M618100_GLUTWARNING","2","0","1","0","0","0"
"M62100_EQUIPMENTEXCHANGE","2","0","1","0","0","0"
"M629100_MOBILITYRIDES","2","0","1","0","0","0"
"M63","6","1","1","0","0","0"
"M639100_OMNICHANNELAI","2","0","1","0","0","0"
"M639100_WHATSAPP","2","0","1","0","0","0"
"M64","6","1","1","0","0","0"
"M640100_INSURANCEPOLICYISSUANCE","2","0","1","0","0","0"
"M645100_LIBRARYKNOWLEDGE","5","1","1","1","0","0"
"M65","6","1","1","0","0","0"
"M651100_RESEARCHANDDEVELOPMENT","2","0","1","0","0","0"
"M652100_ARVR","2","0","1","0","0","0"
"M652100_GOVERNMENTSCHEME","4","0","1","2","0","0"
"M652100_TENANTMANAGEMENT","2","0","1","0","0","0"
"M657100_MULTILINGUAL","2","0","1","0","0","0"
"M663100_SHAREDINFRA","2","0","1","0","0","0"
"M664100_MARKETINTELLIGENCE","2","0","1","0","0","0"
"M675100_AIAGENTICCOMPANION","2","0","1","0","2","0"
"M68100_INDIGENOUSKNOWLEDGE","2","0","1","0","0","0"
"M695100_GST","2","0","1","0","0","0"
"M697100_ESCROW","2","0","1","0","0","0"
"M697100_INSURANCEFRAUDDETECTION","2","0","1","0","0","0"
"M699100_AIOPERATIONINTELLIGENCE","2","0","1","0","0","0"
"M70100_MERCHANDISING","2","0","1","0","0","0"
"M701100_PREVENTIVEMAINTENANCE","2","0","1","0","0","0"
"M707100_CATALOGINTELLIGENCE","2","0","1","0","0","0"
"M712100_ENGINEERINGPROJECT","2","0","1","0","0","0"
"M713100_WIKIPEDIA","2","0","1","0","0","0"
"M714100_PRODUCTMEDIAAI","2","0","1","0","0","0"
"M722100_FARMER","2","0","1","0","0","0"
"M723100_AIBRAIN","2","0","1","0","0","0"
"M726100_FORESTRY","2","0","1","0","0","0"
"M735100_FOLUBENCHMARK","2","0","1","0","0","0"
"M74100_OPERATIONSMANAGEMENT","4","0","1","2","0","0"
"M746100_ANALYTICS","4","0","1","2","0","0"
"M752100_AIBACKBONE","2","0","1","0","0","0"
"M759100_DEMAND","2","0","1","0","0","0"
"M763100_ENTERPRISECONTROL","2","0","1","0","0","0"
"M764100_V42INTELLIGENCE","2","0","1","0","0","0"
"M767100_DPRGENERATION","2","0","1","0","0","0"
"M77100_WATERMANAGEMENT","4","0","1","2","0","0"
"M771100_COSTCONTROL","4","0","1","2","0","0"
"M775100_FARMERFAMILY","2","0","1","0","0","0"
"M781100_LANDMANAGEMENT","2","0","1","0","0","0"
"M791100_RURALENTERPRISE","2","0","1","0","0","0"
"M801100_INSTITUTIONALPROCUREMENT","2","0","1","0","0","0"
"M805100_EXPERIENCELAYER","2","0","1","0","0","0"
"M807100_ECOMMERCEAI","2","0","1","0","0","0"
"M8100_RECIPEINTELLIGENCE","2","0","1","0","0","0"
"M82100_GOAT","5","0","1","2","0","0"
"M822100_MILLCIRCUIT","2","0","1","0","0","0"
"M825100_DIGITALPRODUCTPASSPORT","2","0","1","0","0","0"
"M826100_ECOMMERCE","2","0","1","0","0","0"
"M840100_SYSTEMADMINISTRATION","4","0","1","2","0","0"
"M844100_FARMERVALUE","2","0","1","0","0","0"
"M852100_SHAREDINFRASTRUCTURE","2","0","1","0","0","0"
"M854100_INFORMATIONSHARING","2","0","1","0","0","0"
"M858100_PIG","5","0","1","2","0","0"
"M865100_PROJECTSYSTEMS","4","0","1","2","0","0"
"M868100_HORTICULTUREMANAGEMENT","4","0","1","2","0","0"
"M87100_ANIMALHEALTH","5","0","1","2","0","0"
"M880100_FISHERIESMANAGEMENT","2","0","1","0","0","0"
"M897100_CONSUMERHEALTH","2","0","1","0","0","0"
"M90100_IOTINTEGRATION","2","0","1","0","0","0"
"MIGRATION_SYSTEM","4","1","0","0","0","0"
"MODULE_BACKBONE","0","0","0","0","0","0"
"TEMPLATES","8","1","1","1","4","0"
"UIP_SYSTEM","1","0","0","0","0","0"
