feature,source,original_path,proposed_merge_lab_path,result
docs-agent-protocol,old-new-folder,New folder/GitHub/AFRERA-EBDESIGN-project/.ai/AGENT_PROTOCOL.md,_MERGE_LAB/features/docs-agent-protocol/old-new-folder__3d916125d698__agent-protocol.md,skip-already-copied
docs-agent-protocol,root-current,AGENT_PROTOCOL.md,_MERGE_LAB/features/docs-agent-protocol/root-current__acceadb4a199__agent-protocol.md,skip-already-copied
docs-agent-protocol,claude,.claude/worktrees/eloquent-galileo-bc5c5f/AGENT_PROTOCOL.md,_MERGE_LAB/features/docs-agent-protocol/claude__fb8d6551a2f5__agent-protocol.md,skip-already-copied
docs-agent-protocol,claude,.claude/worktrees/gracious-cerf-f4774a/AGENT_PROTOCOL.md,_MERGE_LAB/features/docs-agent-protocol/claude__fb8d6551a2f5__agent-protocol.md,skip-already-copied
docs-agent-protocol,claude,.claude/worktrees/infallible-keller-4bb4ef/AGENT_PROTOCOL.md,_MERGE_LAB/features/docs-agent-protocol/claude__fb8d6551a2f5__agent-protocol.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/AGENT_PROTOCOL.md,_MERGE_LAB/features/ai-chat-copilot/claude__fb8d6551a2f5__agent-protocol.md,skip-already-copied
ecommerce-marketplace,old-new-folder,New folder/EBDESIGN.worktrees/enterprise-enhancement-production-ready/AGENT_PROTOCOL.md,_MERGE_LAB/features/ecommerce-marketplace/old-new-folder__fb8d6551a2f5__agent-protocol.md,skip-already-copied
docs-agent-protocol,old-new-folder,New folder/GitHub/AFRERA-EBDESIGN-project/AGENT_PROTOCOL.md,_MERGE_LAB/features/docs-agent-protocol/old-new-folder__fb8d6551a2f5__agent-protocol.md,skip-already-copied
docs-agent-protocol,old-new-folder,New folder/claude_reorg_backup_20262808/.ai/AGENT_PROTOCOL.md,_MERGE_LAB/features/docs-agent-protocol/old-new-folder__76f5f43577e3__agent-protocol.md,skip-already-copied
support-ai-collaboration-architecture,codex-or-ai-workspace,.ai/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/support-ai-collaboration-architecture/codex-or-ai-workspace__76ffb9e36c54__ai-collaboration-architecture.md,skip-already-copied
docs-ai-collaboration-architecture,claude,.claude/worktrees/eloquent-galileo-bc5c5f/.ai/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/docs-ai-collaboration-architecture/claude__040517ac93d1__ai-collaboration-architecture.md,skip-already-copied
support-ai-collaboration-architecture,claude,.claude/worktrees/eloquent-galileo-bc5c5f/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/support-ai-collaboration-architecture/claude__040517ac93d1__ai-collaboration-architecture.md,skip-already-copied
docs-ai-collaboration-architecture,claude,.claude/worktrees/gracious-cerf-f4774a/.ai/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/docs-ai-collaboration-architecture/claude__040517ac93d1__ai-collaboration-architecture.md,skip-already-copied
support-ai-collaboration-architecture,claude,.claude/worktrees/gracious-cerf-f4774a/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/support-ai-collaboration-architecture/claude__040517ac93d1__ai-collaboration-architecture.md,skip-already-copied
docs-ai-collaboration-architecture,claude,.claude/worktrees/infallible-keller-4bb4ef/.ai/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/docs-ai-collaboration-architecture/claude__040517ac93d1__ai-collaboration-architecture.md,skip-already-copied
support-ai-collaboration-architecture,claude,.claude/worktrees/infallible-keller-4bb4ef/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/support-ai-collaboration-architecture/claude__040517ac93d1__ai-collaboration-architecture.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/.ai/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/ai-chat-copilot/claude__040517ac93d1__ai-collaboration-architecture.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/ai-chat-copilot/claude__040517ac93d1__ai-collaboration-architecture.md,skip-already-copied
support-ai-collaboration-architecture,backup,backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/support-ai-collaboration-architecture/backup__040517ac93d1__ai-collaboration-architecture.md,skip-already-copied
ecommerce-marketplace,old-new-folder,New folder/EBDESIGN.worktrees/enterprise-enhancement-production-ready/.ai/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/ecommerce-marketplace/old-new-folder__040517ac93d1__ai-collaboration-architecture.md,skip-already-copied
docs-ai-collaboration-architecture,old-new-folder,New folder/GitHub/AFRERA-EBDESIGN-project/.ai/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/docs-ai-collaboration-architecture/old-new-folder__040517ac93d1__ai-collaboration-architecture.md,skip-already-copied
docs-ai-collaboration-architecture,old-new-folder,New folder/claude_reorg_backup_20262808/.ai/architecture/AI_COLLABORATION_ARCHITECTURE.md,_MERGE_LAB/features/docs-ai-collaboration-architecture/old-new-folder__55c2f437d65e__ai-collaboration-architecture.md,skip-already-copied
support-backend-architecture,codex-or-ai-workspace,.ai/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/support-backend-architecture/codex-or-ai-workspace__f4def26a5887__backend-architecture.md,skip-already-copied
docs-backend-architecture,claude,.claude/worktrees/eloquent-galileo-bc5c5f/.ai/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/docs-backend-architecture/claude__7f5e917c4554__backend-architecture.md,skip-already-copied
support-backend-architecture,claude,.claude/worktrees/eloquent-galileo-bc5c5f/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/support-backend-architecture/claude__7f5e917c4554__backend-architecture.md,skip-already-copied
docs-backend-architecture,claude,.claude/worktrees/gracious-cerf-f4774a/.ai/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/docs-backend-architecture/claude__7f5e917c4554__backend-architecture.md,skip-already-copied
support-backend-architecture,claude,.claude/worktrees/gracious-cerf-f4774a/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/support-backend-architecture/claude__7f5e917c4554__backend-architecture.md,skip-already-copied
docs-backend-architecture,claude,.claude/worktrees/infallible-keller-4bb4ef/.ai/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/docs-backend-architecture/claude__7f5e917c4554__backend-architecture.md,skip-already-copied
support-backend-architecture,claude,.claude/worktrees/infallible-keller-4bb4ef/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/support-backend-architecture/claude__7f5e917c4554__backend-architecture.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/.ai/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/ai-chat-copilot/claude__7f5e917c4554__backend-architecture.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/ai-chat-copilot/claude__7f5e917c4554__backend-architecture.md,skip-already-copied
support-backend-architecture,backup,backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/support-backend-architecture/backup__7f5e917c4554__backend-architecture.md,skip-already-copied
ecommerce-marketplace,old-new-folder,New folder/EBDESIGN.worktrees/enterprise-enhancement-production-ready/.ai/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/ecommerce-marketplace/old-new-folder__7f5e917c4554__backend-architecture.md,skip-already-copied
docs-backend-architecture,old-new-folder,New folder/GitHub/AFRERA-EBDESIGN-project/.ai/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/docs-backend-architecture/old-new-folder__7f5e917c4554__backend-architecture.md,skip-already-copied
docs-backend-architecture,old-new-folder,New folder/claude_reorg_backup_20262808/.ai/architecture/BACKEND_ARCHITECTURE.md,_MERGE_LAB/features/docs-backend-architecture/old-new-folder__53c40e17ea5a__backend-architecture.md,skip-already-copied
support-claude-ai-plug-and-play-strategy,codex-or-ai-workspace,.ai/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/support-claude-ai-plug-and-play-strategy/codex-or-ai-workspace__c4551005170a__claude-ai-plug-and-play-strategy.md,skip-already-copied
docs-claude-ai-plug-and-play-strategy,claude,.claude/worktrees/eloquent-galileo-bc5c5f/.ai/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/docs-claude-ai-plug-and-play-strategy/claude__6bf710ef9a62__claude-ai-plug-and-play-strategy.md,skip-already-copied
support-claude-ai-plug-and-play-strategy,claude,.claude/worktrees/eloquent-galileo-bc5c5f/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/support-claude-ai-plug-and-play-strategy/claude__6bf710ef9a62__claude-ai-plug-and-play-strategy.md,skip-already-copied
docs-claude-ai-plug-and-play-strategy,claude,.claude/worktrees/gracious-cerf-f4774a/.ai/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/docs-claude-ai-plug-and-play-strategy/claude__6bf710ef9a62__claude-ai-plug-and-play-strategy.md,skip-already-copied
support-claude-ai-plug-and-play-strategy,claude,.claude/worktrees/gracious-cerf-f4774a/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/support-claude-ai-plug-and-play-strategy/claude__6bf710ef9a62__claude-ai-plug-and-play-strategy.md,skip-already-copied
docs-claude-ai-plug-and-play-strategy,claude,.claude/worktrees/infallible-keller-4bb4ef/.ai/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/docs-claude-ai-plug-and-play-strategy/claude__6bf710ef9a62__claude-ai-plug-and-play-strategy.md,skip-already-copied
support-claude-ai-plug-and-play-strategy,claude,.claude/worktrees/infallible-keller-4bb4ef/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/support-claude-ai-plug-and-play-strategy/claude__6bf710ef9a62__claude-ai-plug-and-play-strategy.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/.ai/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/ai-chat-copilot/claude__6bf710ef9a62__claude-ai-plug-and-play-strategy.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/ai-chat-copilot/claude__6bf710ef9a62__claude-ai-plug-and-play-strategy.md,skip-already-copied
support-claude-ai-plug-and-play-strategy,backup,backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/support-claude-ai-plug-and-play-strategy/backup__6bf710ef9a62__claude-ai-plug-and-play-strategy.md,skip-already-copied
ecommerce-marketplace,old-new-folder,New folder/EBDESIGN.worktrees/enterprise-enhancement-production-ready/.ai/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/ecommerce-marketplace/old-new-folder__6bf710ef9a62__claude-ai-plug-and-play-strategy.md,skip-already-copied
docs-claude-ai-plug-and-play-strategy,old-new-folder,New folder/GitHub/AFRERA-EBDESIGN-project/.ai/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/docs-claude-ai-plug-and-play-strategy/old-new-folder__6bf710ef9a62__claude-ai-plug-and-play-strategy.md,skip-already-copied
docs-claude-ai-plug-and-play-strategy,old-new-folder,New folder/claude_reorg_backup_20262808/.ai/architecture/CLAUDE_AI_PLUG_AND_PLAY_STRATEGY.md,_MERGE_LAB/features/docs-claude-ai-plug-and-play-strategy/old-new-folder__2a681f70faf9__claude-ai-plug-and-play-strategy.md,skip-already-copied
support-codebase-map,codex-or-ai-workspace,.ai/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/support-codebase-map/codex-or-ai-workspace__b565d8713d46__codebase-map.md,skip-already-copied
docs-codebase-map,claude,.claude/worktrees/eloquent-galileo-bc5c5f/.ai/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/docs-codebase-map/claude__fdbefd86a108__codebase-map.md,skip-already-copied
support-codebase-map,claude,.claude/worktrees/eloquent-galileo-bc5c5f/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/support-codebase-map/claude__fdbefd86a108__codebase-map.md,skip-already-copied
docs-codebase-map,claude,.claude/worktrees/gracious-cerf-f4774a/.ai/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/docs-codebase-map/claude__fdbefd86a108__codebase-map.md,skip-already-copied
support-codebase-map,claude,.claude/worktrees/gracious-cerf-f4774a/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/support-codebase-map/claude__fdbefd86a108__codebase-map.md,skip-already-copied
docs-codebase-map,claude,.claude/worktrees/infallible-keller-4bb4ef/.ai/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/docs-codebase-map/claude__fdbefd86a108__codebase-map.md,skip-already-copied
support-codebase-map,claude,.claude/worktrees/infallible-keller-4bb4ef/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/support-codebase-map/claude__fdbefd86a108__codebase-map.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/.ai/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/ai-chat-copilot/claude__fdbefd86a108__codebase-map.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/ai-chat-copilot/claude__fdbefd86a108__codebase-map.md,skip-already-copied
support-codebase-map,backup,backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/support-codebase-map/backup__fdbefd86a108__codebase-map.md,skip-already-copied
ecommerce-marketplace,old-new-folder,New folder/EBDESIGN.worktrees/enterprise-enhancement-production-ready/.ai/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/ecommerce-marketplace/old-new-folder__fdbefd86a108__codebase-map.md,skip-already-copied
docs-codebase-map,old-new-folder,New folder/GitHub/AFRERA-EBDESIGN-project/.ai/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/docs-codebase-map/old-new-folder__fdbefd86a108__codebase-map.md,skip-already-copied
docs-codebase-map,old-new-folder,New folder/claude_reorg_backup_20262808/.ai/architecture/CODEBASE_MAP.md,_MERGE_LAB/features/docs-codebase-map/old-new-folder__b8b77ed86ad8__codebase-map.md,skip-already-copied
support-copy-integration-report,codex-or-ai-workspace,.ai/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/support-copy-integration-report/codex-or-ai-workspace__91be7f026274__copy-integration-report.md,skip-already-copied
support-copy-integration-report,claude,.claude/worktrees/eloquent-galileo-bc5c5f/.ai/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/support-copy-integration-report/claude__90390679f56b__copy-integration-report.md,skip-already-copied
support-copy-integration-report,claude,.claude/worktrees/eloquent-galileo-bc5c5f/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/support-copy-integration-report/claude__90390679f56b__copy-integration-report.md,skip-already-copied
support-copy-integration-report,claude,.claude/worktrees/gracious-cerf-f4774a/.ai/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/support-copy-integration-report/claude__90390679f56b__copy-integration-report.md,skip-already-copied
support-copy-integration-report,claude,.claude/worktrees/gracious-cerf-f4774a/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/support-copy-integration-report/claude__90390679f56b__copy-integration-report.md,skip-already-copied
support-copy-integration-report,claude,.claude/worktrees/infallible-keller-4bb4ef/.ai/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/support-copy-integration-report/claude__90390679f56b__copy-integration-report.md,skip-already-copied
support-copy-integration-report,claude,.claude/worktrees/infallible-keller-4bb4ef/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/support-copy-integration-report/claude__90390679f56b__copy-integration-report.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/.ai/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/ai-chat-copilot/claude__90390679f56b__copy-integration-report.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/ai-chat-copilot/claude__90390679f56b__copy-integration-report.md,skip-already-copied
support-copy-integration-report,backup,backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/support-copy-integration-report/backup__90390679f56b__copy-integration-report.md,skip-already-copied
ecommerce-marketplace,old-new-folder,New folder/EBDESIGN.worktrees/enterprise-enhancement-production-ready/.ai/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/ecommerce-marketplace/old-new-folder__90390679f56b__copy-integration-report.md,skip-already-copied
support-copy-integration-report,old-new-folder,New folder/GitHub/AFRERA-EBDESIGN-project/.ai/architecture/COPY_INTEGRATION_REPORT.md,_MERGE_LAB/features/support-copy-integration-report/old-new-folder__90390679f56b__copy-integration-report.md,skip-already-copied
support-critical-integration-testing-report,codex-or-ai-workspace,.ai/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/support-critical-integration-testing-report/codex-or-ai-workspace__40ed2668e3f9__critical-integration-testing-report.md,skip-already-copied
support-critical-integration-testing-report,claude,.claude/worktrees/eloquent-galileo-bc5c5f/.ai/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/support-critical-integration-testing-report/claude__5958d357e0ff__critical-integration-testing-report.md,skip-already-copied
support-critical-integration-testing-report,claude,.claude/worktrees/eloquent-galileo-bc5c5f/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/support-critical-integration-testing-report/claude__5958d357e0ff__critical-integration-testing-report.md,skip-already-copied
support-critical-integration-testing-report,claude,.claude/worktrees/gracious-cerf-f4774a/.ai/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/support-critical-integration-testing-report/claude__5958d357e0ff__critical-integration-testing-report.md,skip-already-copied
support-critical-integration-testing-report,claude,.claude/worktrees/gracious-cerf-f4774a/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/support-critical-integration-testing-report/claude__5958d357e0ff__critical-integration-testing-report.md,skip-already-copied
support-critical-integration-testing-report,claude,.claude/worktrees/infallible-keller-4bb4ef/.ai/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/support-critical-integration-testing-report/claude__5958d357e0ff__critical-integration-testing-report.md,skip-already-copied
support-critical-integration-testing-report,claude,.claude/worktrees/infallible-keller-4bb4ef/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/support-critical-integration-testing-report/claude__5958d357e0ff__critical-integration-testing-report.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/.ai/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/ai-chat-copilot/claude__5958d357e0ff__critical-integration-testing-report.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/ai-chat-copilot/claude__5958d357e0ff__critical-integration-testing-report.md,skip-already-copied
support-critical-integration-testing-report,backup,backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/support-critical-integration-testing-report/backup__5958d357e0ff__critical-integration-testing-report.md,skip-already-copied
ecommerce-marketplace,old-new-folder,New folder/EBDESIGN.worktrees/enterprise-enhancement-production-ready/.ai/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/ecommerce-marketplace/old-new-folder__5958d357e0ff__critical-integration-testing-report.md,skip-already-copied
support-critical-integration-testing-report,old-new-folder,New folder/GitHub/AFRERA-EBDESIGN-project/.ai/architecture/CRITICAL_INTEGRATION_TESTING_REPORT.md,_MERGE_LAB/features/support-critical-integration-testing-report/old-new-folder__5958d357e0ff__critical-integration-testing-report.md,skip-already-copied
support-critical-testing-correction-rewrite-report,codex-or-ai-workspace,.ai/architecture/CRITICAL_TESTING_CORRECTION_REWRITE_REPORT.md,_MERGE_LAB/features/support-critical-testing-correction-rewrite-report/codex-or-ai-workspace__73efcae9ee4f__critical-testing-correction-rewrite-report.md,skip-already-copied
support-critical-testing-correction-rewrite-report,claude,.claude/worktrees/eloquent-galileo-bc5c5f/.ai/architecture/CRITICAL_TESTING_CORRECTION_REWRITE_REPORT.md,_MERGE_LAB/features/support-critical-testing-correction-rewrite-report/claude__0127e8b59bed__critical-testing-correction-rewrite-report.md,skip-already-copied
support-critical-testing-correction-rewrite-report,claude,.claude/worktrees/eloquent-galileo-bc5c5f/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CRITICAL_TESTING_CORRECTION_REWRITE_REPORT.md,_MERGE_LAB/features/support-critical-testing-correction-rewrite-report/claude__0127e8b59bed__critical-testing-correction-rewrite-report.md,skip-already-copied
support-critical-testing-correction-rewrite-report,claude,.claude/worktrees/gracious-cerf-f4774a/.ai/architecture/CRITICAL_TESTING_CORRECTION_REWRITE_REPORT.md,_MERGE_LAB/features/support-critical-testing-correction-rewrite-report/claude__0127e8b59bed__critical-testing-correction-rewrite-report.md,skip-already-copied
support-critical-testing-correction-rewrite-report,claude,.claude/worktrees/gracious-cerf-f4774a/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CRITICAL_TESTING_CORRECTION_REWRITE_REPORT.md,_MERGE_LAB/features/support-critical-testing-correction-rewrite-report/claude__0127e8b59bed__critical-testing-correction-rewrite-report.md,skip-already-copied
support-critical-testing-correction-rewrite-report,claude,.claude/worktrees/infallible-keller-4bb4ef/.ai/architecture/CRITICAL_TESTING_CORRECTION_REWRITE_REPORT.md,_MERGE_LAB/features/support-critical-testing-correction-rewrite-report/claude__0127e8b59bed__critical-testing-correction-rewrite-report.md,skip-already-copied
support-critical-testing-correction-rewrite-report,claude,.claude/worktrees/infallible-keller-4bb4ef/backups/CONSOLIDATION_BACKUP_20260907_170201/.ai_backup/architecture/CRITICAL_TESTING_CORRECTION_REWRITE_REPORT.md,_MERGE_LAB/features/support-critical-testing-correction-rewrite-report/claude__0127e8b59bed__critical-testing-correction-rewrite-report.md,skip-already-copied
ai-chat-copilot,claude,.claude/worktrees/nice-chatelet-4d6ee4/.ai/architecture/CRITICAL_TESTING_CORRECTION_REWRITE_REPORT.md,_MERGE_LAB/features/ai-chat-copilot/claude__0127e8b59bed__critical-testing-correction-rewrite-report.md,skip-already-copied
