"RouterFile","Prefixes","ReachableFiles","Bytes","Lines","RouteDeclarations","RequireStatements","ImportStatements","ExportStatements","HasRouter","HasExpress","HasResponseLogic","HasAuthText","HasServiceText","HasControllerText","HasDatabaseText","HasAIText","HasERPText","HasTODO","HasFIXME","HasPlaceholder","HasNotImplemented","HasMockText","SemanticRole","PathClass","Classification","ReadError"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\coldChainMonitoring.js","/api/coldchainmonitoring","1","330","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\biometric.js","/api/biometric","1","308","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\blockchainTrace.js","/api/blockchaintrace","1","321","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateRouteSupport.js","/api/climateroutesupport","2","4700","105","0","3","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase11.js","/api/phase11","1","304","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\qualityAssurance.js","/api/qualityassurance","1","323","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\vr.js","/api/vr","1","294","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ENDPOINT_MISMATCH_FIXER.js","/api/debug","1","356","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","NON_PRIMARY_OR_TOOLING",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\greenhouse.js","/api/greenhouse","1","310","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditTrail.js","/api/audittrail","1","311","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\riskAssessment.js","/api/riskassessment","1","319","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\automation.js","/api/automation","1","310","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dataVisualization.js","/api/datavisualization","1","325","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisory.js","/api/climateadvisory","1","321","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\operationsRouteSupport.js","/api/operationsroutesupport","1","240","13","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","False","False","False","ROUTE","PRODUCTION_OR_REVIEW","INLINE_ROUTE_IMPLEMENTATION",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\livestock.js","/api/livestock","1","308","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\productCertifications.js","/api/productcertifications","1","333","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\loanManagement.js","/api/loanmanagement","1","319","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase12.js","/api/phase12","1","304","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\mlOptimization.js","/api/mloptimization","1","319","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\warehouseManagement.js","/api/warehousemanagement","1","329","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase8.js","/api/phase8","1","302","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\soilHealth.js","/api/soilhealth","1","311","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\iotSensors.js","/api/iotsensors","1","311","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\stripeWebhookRoutes.js","/api","2","7984","287","1","4","0","1","True","True","True","False","True","False","False","False","False","False","False","False","False","False","ROUTE","PRODUCTION_OR_REVIEW","INLINE_ROUTE_IMPLEMENTATION",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\complianceTracking.js","/api/compliancetracking","1","327","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\predictiveAnalytics.js","/api/predictiveanalytics","1","329","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\sellerVerifications.js","/api/sellerverifications","1","329","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\marketAnalytics.js","/api/marketanalytics","1","321","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\supplyChainAnalytics.js","/api/supplychainanalytics","1","332","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\horticulture.js","/api/horticulture","1","314","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\financialAnalytics.js","/api/financialanalytics","1","327","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\certificationManagement.js","/api/certificationmanagement","1","337","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOrders.js","/api/bulkorders","1","311","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\yieldManagement.js","/api/yieldmanagement","1","321","21","1","1","0","1","True","True","True","False","False","False","False","False","False","False","False","True","False","False","ROUTE","PRODUCTION_OR_REVIEW","POSSIBLE_SCAFFOLD",""
