"cap","files","count"
"CAP-011","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md","3"
"CAP-012","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","3"
"CAP-013","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md","7"
"CAP-014","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md","9"
"CAP-015","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md","4"
"CAP-016","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md","4"
"CAP-017","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","4"
"CAP-018","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","5"
"CAP-019","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","8"
"CAP-020","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md","9"
"CAP-021","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","4"
"CAP-022","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md","5"
"CAP-023","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md","9"
"CAP-024","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md","10"
"CAP-025","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md","7"
"CAP-026","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md","6"
"CAP-027","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md","9"
"CAP-028","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md","10"
"CAP-029","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md","6"
"CAP-030","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md","6"
"CAP-031","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","10"
"CAP-032","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md","8"
"CAP-033","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md","4"
"CAP-034","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md","9"
"CAP-035","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE8_AI_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md","15"
"CAP-036","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE8_AI_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","11"
"CAP-037","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE8_AI_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md","11"
"CAP-038","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE8_AI_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md","14"
"CAP-039","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md","10"
"CAP-040","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE7_Traceability_Matrix.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","11"
"CAP-041","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md","9"
"CAP-042","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md","9"
"CAP-043","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md","9"
"CAP-044","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md","6"
"CAP-045","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","9"
"CAP-046","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md","9"
"CAP-047","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","11"
"CAP-048","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md","9"
"CAP-049","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md","5"
"CAP-050","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md","9"
"CAP-051","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md","8"
"CAP-052","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","8"
"CAP-053","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md","8"
"CAP-054","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE14_Enhanced_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md","8"
"CAP-055","C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE5_Problem_Detection.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE6_Heat_Maps.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE3_Master_Capability_Repository.md;C:\Users\DIYA GOEL\Downloads\EBDESIGN\EVGA_PHASE4_Evidence_Based_Verification.md","4"
