IssueID,File,Line,Type,Link,Status,Recommendation
14,"communityService.js",92,EXTERNAL_URL,"https://example.com/avatar1.jpg",PLACEHOLDER,"REPLACE_WITH_REAL_URL"
15,"digitalProductPassportService.js",947,EXTERNAL_URL,"https://afrera.com",POTENTIALLY_BROKEN,"VERIFY_ENDPOINT"
16,"foluBenchmarkService.js",4,EXTERNAL_URL,"https://www.foodandlandusecoalition.org/global-report/",UNKNOWN,"MANUAL_VERIFICATION"
17,"foluBenchmarkService.js",174,EXTERNAL_URL,"https://www.foodandlandusecoalition.org/global-report/",UNKNOWN,"MANUAL_VERIFICATION"
18,"publicDomainDataExtractionService.js",50,EXTERNAL_URL,"https://api.data.gov",UNKNOWN,"MANUAL_VERIFICATION"
19,"publicDomainDataExtractionService.js",63,EXTERNAL_URL,"https://myscheme.gov.in",POTENTIALLY_BROKEN,"VERIFY_ENDPOINT"
20,"publicDomainDataExtractionService.js",76,EXTERNAL_URL,"https://www.opensubsidies.org",POTENTIALLY_BROKEN,"VERIFY_ENDPOINT"
21,"publicDomainDataExtractionService.js",89,EXTERNAL_URL,"https://farmsubsidy.org",UNKNOWN,"MANUAL_VERIFICATION"
22,"publicDomainDataExtractionService.js",103,EXTERNAL_URL,"https://api.crossref.org",UNKNOWN,"MANUAL_VERIFICATION"
23,"publicDomainDataExtractionService.js",116,EXTERNAL_URL,"https://core.ac.uk",UNKNOWN,"MANUAL_VERIFICATION"
24,"publicDomainDataExtractionService.js",130,EXTERNAL_URL,"https://data.defense.gov",UNKNOWN,"MANUAL_VERIFICATION"
25,"researchAndDevelopmentService.js",104,EXTERNAL_URL,"https://example.com/apply",PLACEHOLDER,"REPLACE_WITH_REAL_URL"
26,"whatsappService.js",29,EXTERNAL_URL,"https://www.twilio.com/docs/whatsapp/api",UNKNOWN,"MANUAL_VERIFICATION"
27,"whatsappService.js",85,EXTERNAL_URL,"https://www.twilio.com/docs/whatsapp/api",UNKNOWN,"MANUAL_VERIFICATION"
28,"whatsappService.js",307,EXTERNAL_URL,"https://www.twilio.com/docs/whatsapp/api",UNKNOWN,"MANUAL_VERIFICATION"
29,"whatsappService.js",308,EXTERNAL_URL,"https://www.twilio.com/docs/usage/webhooks/webhooks-security",UNKNOWN,"MANUAL_VERIFICATION"
30,"whatsappService.js",316,EXTERNAL_URL,"https://www.twilio.com/docs/usage/webhooks/webhooks-security",UNKNOWN,"MANUAL_VERIFICATION"
31,"wikipediaService.js",12,EXTERNAL_URL,"https://meta.wikimedia.org/wiki/User-Agent_policy",UNKNOWN,"MANUAL_VERIFICATION"
32,"wikipediaService.js",27,EXTERNAL_URL,"https://en.wikipedia.org",UNKNOWN,"MANUAL_VERIFICATION"
33,"wikipediaService.js",106,EXTERNAL_URL,"https://en.wikipedia.org/wiki/${encodeURIComponent(title",UNKNOWN,"MANUAL_VERIFICATION"
34,"inputValidation.test.js",117,EXTERNAL_URL,"https://example.com",PLACEHOLDER,"REPLACE_WITH_REAL_URL"
35,"arVrService.test.js",46,EXTERNAL_URL,"https://example.com/thumbnail.jpg",PLACEHOLDER,"REPLACE_WITH_REAL_URL"
36,"arVrService.test.js",47,EXTERNAL_URL,"https://example.com/model.glb",PLACEHOLDER,"REPLACE_WITH_REAL_URL"
37,"arVrService.test.js",106,EXTERNAL_URL,"https://example.com/model.glb",PLACEHOLDER,"REPLACE_WITH_REAL_URL"
38,"arVrService.test.js",108,EXTERNAL_URL,"https://example.com/thumb.jpg",PLACEHOLDER,"REPLACE_WITH_REAL_URL"
39,"index.js",321,EXTERNAL_URL,"https://fonts.googleapis.com",KNOWN_WORKING,"NO_ACTION"
40,"index.js",322,EXTERNAL_URL,"https://fonts.gstatic.com",UNKNOWN,"MANUAL_VERIFICATION"
